"โรงพยาบาล","ภาคเรียนที่ 2(ตค.-มีค.)","ภาคเรียนที่ 1(เมย.-กย.)"
"HPV1รหัส310(A1)","HPV2รหัส320(A2)","HPV1รหัส310(A1)","HPV2รหัส320(A2)"
"10669  :  โรงพยาบาลสรรพสิทธิประสงค์","0","0","0","0"
"10944  :  โรงพยาบาลศรีเมืองใหม่","0","0","0","0"
"10945  :  โรงพยาบาลโขงเจียม","0","0","38","0"
"10946  :  โรงพยาบาลเขื่องใน","0","0","0","0"
"10947  :  โรงพยาบาลเขมราฐ","131","0","0","0"
"10948  :  โรงพยาบาลนาจะหลวย","17","0","0","0"
"10949  :  โรงพยาบาลน้ำยืน","0","0","0","0"
"10950  :  โรงพยาบาลบุณฑริก","6","0","0","143"
"10951  :  โรงพยาบาลตระการพืชผล","0","0","0","0"
"10952  :  โรงพยาบาลกุดข้าวปุ้น","39","0","0","0"
"10953  :  โรงพยาบาลม่วงสามสิบ","0","0","0","0"
"10954  :  โรงพยาบาลวารินชำราบ","0","0","0","0"
"10956  :  โรงพยาบาลพิบูลมังสาหาร","0","0","0","0"
"10957  :  โรงพยาบาลตาลสุม","22","0","0","0"
"10958  :  โรงพยาบาลโพธิ์ไทร","0","0","0","0"
"10959  :  โรงพยาบาลสำโรง","0","0","0","0"
"10960  :  โรงพยาบาลดอนมดแดง","0","0","0","0"
"10961  :  โรงพยาบาลสิรินธร","0","0","57","0"
"10962  :  โรงพยาบาลทุ่งศรีอุดม","22","0","0","0"
"11443  :  โรงพยาบาลสมเด็จพระยุพราชเดชอุดม","0","0","0","0"
"11495  :  โรงพยาบาลกองบิน 21","0","0","0","0"
"11496  :  โรงพยาบาลค่ายสรรพสิทธิประสงค์","0","0","0","0"
"11918  :  โรงพยาบาลเอกชนร่มเกล้า","1","193","0","50"
"12269  :  โรงพยาบาลพระศรีมหาโพธิ์","0","0","0","0"
"12270  :  โรงพยาบาลส่งเสริมสุขภาพ ศูนย์อนามัยที่ 10","0","0","0","0"
"21984  :  โรงพยาบาล 50 พรรษา มหาวชิราลงกรณ","0","0","0","0"
"24032  :  โรงพยาบาลนาตาล","0","0","0","0"
"24821  :  โรงพยาบาลนาเยีย","0","0","0","0"
"27967  :  โรงพยาบาลสว่างวีระวงศ์","0","0","0","0"
"27968  :  โรงพยาบาลน้ำขุ่น","0","0","0","0"
"27976  :  โรงพยาบาลเหล่าเสือโก้ก","0","0","0","0"
"10701  :  โรงพยาบาลยโสธร","0","0","0","0"
"10963  :  โรงพยาบาลทรายมูล","0","0","0","0"
"10964  :  โรงพยาบาลกุดชุม","0","0","0","0"
"10965  :  โรงพยาบาลคำเขื่อนแก้ว","2","0","0","36"
"10966  :  โรงพยาบาลป่าติ้ว","38","0","0","0"
"10967  :  โรงพยาบาลมหาชนะชัย","0","0","0","0"
"10968  :  โรงพยาบาลค้อวัง","32","0","0","0"
"10969  :  โรงพยาบาลไทยเจริญ","0","0","0","0"
"11444  :  โรงพยาบาลสมเด็จพระยุพราชเลิงนกทา","88","0","0","0"
"11921  :  โรงพยาบาลนายแพทย์หาญ","0","0","0","0"
"04007  :  โรงพยาบาลซับใหญ่","0","0","0","0"
"10702  :  โรงพยาบาลชัยภูมิ","0","0","0","0"
"10970  :  โรงพยาบาลบ้านเขว้า","0","0","0","41"
"10971  :  โรงพยาบาลคอนสวรรค์","0","1","0","0"
"10972  :  โรงพยาบาลเกษตรสมบูรณ์","0","0","0","0"
"10973  :  โรงพยาบาลหนองบัวแดง","0","0","0","0"
"10974  :  โรงพยาบาลจัตุรัส","12","0","0","0"
"10975  :  โรงพยาบาลบำเหน็จณรงค์","0","0","0","69"
"10976  :  โรงพยาบาลหนองบัวระเหว","22","0","0","0"
"10977  :  โรงพยาบาลเทพสถิต","0","0","0","0"
"10978  :  โรงพยาบาลภูเขียวเฉลิมพระเกียรติ","94","1","0","0"
"10979  :  โรงพยาบาลบ้านแท่น","76","0","0","0"
"10980  :  โรงพยาบาลแก้งคร้อ","0","18","0","75"
"10981  :  โรงพยาบาลคอนสาร","5","0","0","0"
"10982  :  โรงพยาบาลภักดีชุมพล","0","0","0","0"
"10983  :  โรงพยาบาลเนินสง่า","0","0","18","16"
"10703  :  โรงพยาบาลอำนาจเจริญ","0","0","0","0"
"10985  :  โรงพยาบาลชานุมาน","5","0","0","5"
"10986  :  โรงพยาบาลปทุมราชวงศา","0","2","0","0"
"10987  :  โรงพยาบาลพนา","50","0","2","48"
"10988  :  โรงพยาบาลเสนางคนิคม","2","0","0","0"
"10989  :  โรงพยาบาลหัวตะพาน","35","0","0","0"
"10990  :  โรงพยาบาลลืออำนาจ","59","0","0","0"
"11040  :  โรงพยาบาลบึงกาฬ","0","0","0","0"
"11041  :  โรงพยาบาลพรเจริญ","44","1","9","0"
"11043  :  โรงพยาบาลโซ่พิสัย","0","0","0","0"
"11046  :  โรงพยาบาลเซกา","0","0","0","0"
"11047  :  โรงพยาบาลปากคาด","4","0","0","57"
"11048  :  โรงพยาบาลบึงโขงหลง","0","0","0","0"
"11049  :  โรงพยาบาลศรีวิไล","81","1","0","0"
"11050  :  โรงพยาบาลบุ่งคล้า","9","0","0","9"
"10704  :  โรงพยาบาลหนองบัวลำภู","0","0","0","0"
"10991  :  โรงพยาบาลนากลาง","0","0","0","0"
"10992  :  โรงพยาบาลโนนสัง","0","0","0","0"
"10993  :  โรงพยาบาลศรีบุญเรือง","0","0","0","0"
"10994  :  โรงพยาบาลสุวรรณคูหา","0","0","0","0"
"23367  :  โรงพยาบาลนาวัง เฉลิมพระเกียรติ 80 พรรษา","0","0","0","0"
"10670  :  โรงพยาบาลขอนแก่น","0","0","0","0"
"10995  :  โรงพยาบาลบ้านฝาง","0","0","0","0"
"10996  :  โรงพยาบาลพระยืน","0","0","0","0"
"10997  :  โรงพยาบาลหนองเรือ","40","0","0","0"
"10998  :  โรงพยาบาลชุมแพ","0","0","0","0"
"10999  :  โรงพยาบาลสีชมพู","58","0","0","0"
"11000  :  โรงพยาบาลน้ำพอง","52","0","0","51"
"11001  :  โรงพยาบาลอุบลรัตน์","6","0","0","11"
"11002  :  โรงพยาบาลบ้านไผ่","0","0","0","0"
"11003  :  โรงพยาบาลเปือยน้อย","20","0","0","0"
"11004  :  โรงพยาบาลพล","0","0","0","0"
"11005  :  โรงพยาบาลแวงใหญ่","0","0","0","0"
"11006  :  โรงพยาบาลแวงน้อย","39","0","0","0"
"11007  :  โรงพยาบาลหนองสองห้อง","0","0","0","0"
"11008  :  โรงพยาบาลภูเวียง","0","0","0","0"
"11009  :  โรงพยาบาลมัญจาคีรี","0","0","66","0"
"11010  :  โรงพยาบาลชนบท","0","0","0","0"
"11011  :  โรงพยาบาลเขาสวนกวาง","0","0","0","0"
"11012  :  โรงพยาบาลภูผาม่าน","0","0","0","0"
"11445  :  โรงพยาบาลสมเด็จพระยุพราชกระนวน","221","0","0","0"
"11497  :  โรงพยาบาลค่ายศรีพัชรินทร","0","0","0","0"
"11936  :  โรงพยาบาลขอนแก่นราม","0","0","0","0"
"12272  :  โรงพยาบาลจิตเวชขอนแก่นราชนครินทร์","0","0","0","0"
"12273  :  โรงพยาบาลส่งเสริมสุขภาพ ศูนย์อนามัยที่ 7","0","0","0","0"
"12275  :  โรงพยาบาลสิรินธร(ภาคตะวันออกเฉียงเหนือ)","0","0","0","0"
"13777  :  โรงพยาบาลศรีนครินทร์ มหาวิทยาลัยขอนแก่น","0","0","0","0"
"14132  :  โรงพยาบาลซำสูง","0","0","0","0"
"14196  :  โรงพยาบาลธัญญรักษ์ขอนแก่น","0","0","0","0"
"24746  :  สถาบันสุขภาพจิตเด็กและวัยรุ่นภาคตะวันออกเฉียงเหนือ","0","0","0","0"
"77649  :  โรงพยาบาลหนองนาคำ","0","0","0","0"
"77650  :  โรงพยาบาลเวียงเก่า","0","0","0","0"
"77651  :  โรงพยาบาลโคกโพธิ์ไชย","15","0","0","0"
"77652  :  โรงพยาบาลโนนศิลา","0","0","0","0"
"10671  :  โรงพยาบาลอุดรธานี","0","0","0","0"
"11013  :  โรงพยาบาลกุดจับ","0","0","0","0"
"11014  :  โรงพยาบาลหนองวัวซอ","56","0","0","0"
"11015  :  โรงพยาบาลกุมภวาปี","1","0","0","0"
"11016  :  โรงพยาบาลห้วยเกิ้ง","0","0","0","0"
"11017  :  โรงพยาบาลโนนสะอาด","69","0","0","1"
"11018  :  โรงพยาบาลหนองหาน","0","2","0","27"
"11019  :  โรงพยาบาลทุ่งฝน","0","0","0","1"
"11020  :  โรงพยาบาลไชยวาน","0","0","0","0"
"11021  :  โรงพยาบาลศรีธาตุ","0","0","0","10"
"11022  :  โรงพยาบาลวังสามหมอ","0","0","0","0"
"11023  :  โรงพยาบาลบ้านผือ","1","0","0","4"
"11024  :  โรงพยาบาลน้ำโสม","0","0","0","0"
"11025  :  โรงพยาบาลเพ็ญ","142","0","0","0"
"11026  :  โรงพยาบาลสร้างคอม","33","0","0","0"
"11027  :  โรงพยาบาลหนองแสง","41","2","0","0"
"11028  :  โรงพยาบาลนายูง","0","0","0","0"
"11029  :  โรงพยาบาลพิบูลย์รักษ์","0","0","0","0"
"11446  :  โรงพยาบาลสมเด็จพระยุพราชบ้านดุง","0","0","0","0"
"11501  :  โรงพยาบาลค่ายประจักษ์ศิลปาคม","20","1","0","0"
"12276  :  โรงพยาบาลมะเร็งอุดรธานี","0","0","0","0"
"23951  :  โรงพยาบาลธัญญารักษ์อุดรธานี","0","0","0","0"
"25058  :  โรงพยาบาลกู่แก้ว","0","0","0","0"
"25059  :  โรงพยาบาลประจักษ์ศิลปาคม","0","0","0","0"
"10705  :  โรงพยาบาลเลย","1","0","0","0"
"11030  :  โรงพยาบาลนาด้วง","56","0","2","57"
"11031  :  โรงพยาบาลเชียงคาน","1","1","0","0"
"11032  :  โรงพยาบาลปากชม","0","0","0","40"
"11033  :  โรงพยาบาลนาแห้ว","0","0","0","11"
"11034  :  โรงพยาบาลภูเรือ","0","0","0","35"
"11035  :  โรงพยาบาลท่าลี่","1","0","3","35"
"11036  :  โรงพยาบาลวังสะพุง","2","0","0","5"
"11037  :  โรงพยาบาลภูกระดึง","41","0","1","75"
"11038  :  โรงพยาบาลภูหลวง","0","0","0","0"
"11039  :  โรงพยาบาลผาขาว","13","0","0","0"
"11447  :  โรงพยาบาลสมเด็จพระยุพราชด่านซ้าย","14","0","0","3"
"14133  :  โรงพยาบาลเอราวัณ","2","0","0","57"
"14644  :  โรงพยาบาลจิตเวชเลยราชนครินทร์","0","0","0","0"
"28861  :  โรงพยาบาลหนองหิน","66","0","0","0"
"10706  :  โรงพยาบาลหนองคาย","10","64","0","0"
"11042  :  โรงพยาบาลโพนพิสัย","0","48","2","9"
"11044  :  โรงพยาบาลศรีเชียงใหม่","79","0","0","0"
"11045  :  โรงพยาบาลสังคม","0","0","0","29"
"11448  :  โรงพยาบาลสมเด็จพระยุพราชท่าบ่อ","172","0","3","110"
"14558  :  โรงพยาบาลพิสัยเวช","104","1","0","0"
"21356  :  โรงพยาบาลสระใคร","0","0","0","10"
"28778  :  โรงพยาบาลโพธิ์ตาก","0","0","0","0"
"28811  :  โรงพยาบาลเฝ้าไร่","17","0","0","0"
"28815  :  โรงพยาบาลรัตนวาปี","0","0","0","0"
"10707  :  โรงพยาบาลมหาสารคาม","0","0","0","0"
"11051  :  โรงพยาบาลแกดำ","16","0","0","0"
"11052  :  โรงพยาบาลโกสุมพิสัย","27","0","0","0"
"11053  :  โรงพยาบาลกันทรวิชัย","0","0","0","0"
"11054  :  โรงพยาบาลเชียงยืน","0","0","119","1"
"11055  :  โรงพยาบาลบรบือ","154","3","0","145"
"11056  :  โรงพยาบาลนาเชือก","113","21","0","0"
"11057  :  โรงพยาบาลพยัคฆภูมิพิสัย","245","0","0","0"
"11058  :  โรงพยาบาลวาปีปทุม","0","0","0","0"
"11059  :  โรงพยาบาลนาดูน","31","0","0","31"
"11060  :  โรงพยาบาลยางสีสุราช","29","28","29","22"
"22953  :  โรงพยาบาลสุทธาเวช คณะแพทยศาสตร์ มหาวิทยาลัยมหาสารคาม","107","0","0","0"
"24704  :  โรงพยาบาลกุดรัง","11","0","0","3"
"28843  :  โรงพยาบาลชื่นชม","0","0","0","0"
"10708  :  โรงพยาบาลร้อยเอ็ด","0","0","0","0"
"11061  :  โรงพยาบาลเกษตรวิสัย","133","115","0","0"
"11062  :  โรงพยาบาลปทุมรัตต์","112","104","0","0"
"11063  :  โรงพยาบาลจตุรพักตรพิมาน","90","0","0","0"
"11064  :  โรงพยาบาลธวัชบุรี","17","0","0","0"
"11065  :  โรงพยาบาลพนมไพร","81","90","0","0"
"11066  :  โรงพยาบาลโพนทอง","176","123","0","19"
"11067  :  โรงพยาบาลโพธิ์ชัย","0","1","0","0"
"11068  :  โรงพยาบาลหนองพอก","96","28","0","0"
"11069  :  โรงพยาบาลเสลภูมิ","253","209","4","41"
"11070  :  โรงพยาบาลสุวรรณภูมิ","226","0","0","0"
"11071  :  โรงพยาบาลเมืองสรวง","18","0","24","0"
"11072  :  โรงพยาบาลโพนทราย","0","0","0","0"
"11073  :  โรงพยาบาลอาจสามารถ","96","98","0","0"
"11074  :  โรงพยาบาลเมยวดี","37","0","0","0"
"11075  :  โรงพยาบาลศรีสมเด็จ","53","58","0","0"
"11076  :  โรงพยาบาลจังหาร","1","0","0","0"
"11504  :  โรงพยาบาลค่ายสมเด็จพระพุทธยอดฟ้าจุฬาโลกมหาราช","0","0","0","0"
"11964  :  โรงพยาบาลทั่วไปขนาดใหญ่จุรีเวช","73","0","0","0"
"27988  :  โรงพยาบาลทุ่งเขาหลวง","1","0","0","0"
"27989  :  โรงพยาบาลเชียงขวัญ","8","7","0","0"
"27990  :  โรงพยาบาลหนองฮี","6","0","0","0"
"10709  :  โรงพยาบาลกาฬสินธุ์","192","0","0","129"
"11077  :  โรงพยาบาลนามน","64","0","0","64"
"11078  :  โรงพยาบาลกมลาไสย","104","0","0","47"
"11079  :  โรงพยาบาลร่องคำ","43","1","0","0"
"11080  :  โรงพยาบาลเขาวง","72","0","1","71"
"11081  :  โรงพยาบาลยางตลาด","120","0","0","82"
"11082  :  โรงพยาบาลห้วยเม็ก","120","0","0","27"
"11083  :  โรงพยาบาลสหัสขันธ์","22","0","0","18"
"11084  :  โรงพยาบาลคำม่วง","74","0","0","0"
"11085  :  โรงพยาบาลท่าคันโท","0","0","0","70"
"11086  :  โรงพยาบาลหนองกุงศรี","75","0","27","76"
"11087  :  โรงพยาบาลสมเด็จ","234","0","0","236"
"11088  :  โรงพยาบาลห้วยผึ้ง","87","0","0","26"
"11449  :  โรงพยาบาลสมเด็จพระยุพราชกุฉินารายณ์","168","0","0","118"
"11965  :  โรงพยาบาลธีรวัฒน์","0","0","0","0"
"28017  :  โรงพยาบาลนาคู","0","25","0","0"
"28789  :  โรงพยาบาลฆ้องชัย","12","4","0","12"
"28790  :  โรงพยาบาลดอนจาน","0","0","0","18"
"28791  :  โรงพยาบาลสามชัย","39","0","0","36"
"10710  :  โรงพยาบาลสกลนคร","0","0","1","0"
"11089  :  โรงพยาบาลกุสุมาลย์","72","0","0","0"
"11090  :  โรงพยาบาลกุดบาก","43","1","0","0"
"11091  :  โรงพยาบาลพระอาจารย์ฝั้นอาจาโร","0","0","0","0"
"11092  :  โรงพยาบาลพังโคน","0","0","122","70"
"11093  :  โรงพยาบาลวาริชภูมิ","0","0","0","0"
"11094  :  โรงพยาบาลนิคมน้ำอูน","5","0","0","0"
"11095  :  โรงพยาบาลวานรนิวาส","4","0","0","0"
"11096  :  โรงพยาบาลคำตากล้า","0","1","0","21"
"11097  :  โรงพยาบาลบ้านม่วง","2","0","2","88"
"11098  :  โรงพยาบาลอากาศอำนวย","0","0","0","64"
"11099  :  โรงพยาบาลส่องดาว","22","0","0","0"
"11100  :  โรงพยาบาลเต่างอย","2","0","0","0"
"11101  :  โรงพยาบาลโคกศรีสุพรรณ","0","0","0","0"
"11102  :  โรงพยาบาลเจริญศิลป์","0","0","0","0"
"11103  :  โรงพยาบาลโพนนาแก้ว","22","0","0","0"
"11450  :  โรงพยาบาลสมเด็จพระยุพราชสว่างแดนดิน","154","0","0","181"
"11505  :  โรงพยาบาลค่ายกฤษณ์สีวะรา","0","0","0","0"
"21323  :  โรงพยาบาลพระอาจารย์แบน  ธนากโร","39","0","0","0"
"24976  :  โรงพยาบาลการแพทย์แผนไทยสกลนคร หลวงปู่แฟ๊ป สุภัทโท","0","0","0","0"
"10711  :  โรงพยาบาลนครพนม","0","46","0","0"
"11104  :  โรงพยาบาลปลาปาก","64","40","0","0"
"11105  :  โรงพยาบาลท่าอุเทน","0","0","1","0"
"11106  :  โรงพยาบาลบ้านแพง","90","92","0","0"
"11107  :  โรงพยาบาลนาทม","15","0","0","0"
"11108  :  โรงพยาบาลเรณูนคร","0","0","0","0"
"11109  :  โรงพยาบาลนาแก","0","0","0","0"
"11110  :  โรงพยาบาลศรีสงคราม","46","0","0","0"
"11111  :  โรงพยาบาลนาหว้า","59","0","0","0"
"11112  :  โรงพยาบาลโพนสวรรค์","0","0","23","0"
"11451  :  โรงพยาบาลสมเด็จพระยุพราชธาตุพนม","6","0","1","0"
"12277  :  โรงพยาบาลจิตเวชนครพนมราชนครินทร์","0","0","0","0"
"40840  :  โรงพยาบาลวังยาง","0","0","0","0"
"10712  :  โรงพยาบาลมุกดาหาร","18","107","0","0"
"11113  :  โรงพยาบาลนิคมคำสร้อย","0","0","0","0"
"11114  :  โรงพยาบาลดอนตาล","6","0","0","0"
"11115  :  โรงพยาบาลดงหลวง","0","0","21","60"
"11116  :  โรงพยาบาลคำชะอี","73","1","0","0"
"11117  :  โรงพยาบาลหว้านใหญ่","0","0","0","0"
"11118  :  โรงพยาบาลหนองสูง","0","0","0","0"
"06009  :  โรงพยาบาลแม่ตื่น","0","0","0","0"
"10713  :  โรงพยาบาลนครพิงค์","159","6","0","361"
"11119  :  โรงพยาบาลจอมทอง","104","0","0","0"
"11120  :  โรงพยาบาลเทพรัตนเวชชานุกูล เฉลิมพระเกียรติ ๖๐ พรรษา","8","0","0","0"
"11121  :  โรงพยาบาลเชียงดาว","0","0","0","0"
"11122  :  โรงพยาบาลดอยสะเก็ด","0","0","0","0"
"11123  :  โรงพยาบาลแม่แตง","0","0","0","0"
"11124  :  โรงพยาบาลสะเมิง","0","0","0","0"
"11125  :  โรงพยาบาลฝาง","0","0","0","0"
"11126  :  โรงพยาบาลแม่อาย","0","0","0","0"
"11127  :  โรงพยาบาลพร้าว","0","0","0","0"
"11128  :  โรงพยาบาลสันป่าตอง","0","0","0","0"
"11129  :  โรงพยาบาลสันกำแพง","0","0","0","0"
"11130  :  โรงพยาบาลสันทราย","0","0","0","0"
"11131  :  โรงพยาบาลหางดง","0","0","0","0"
"11132  :  โรงพยาบาลฮอด","0","0","0","0"
"11133  :  โรงพยาบาลดอยเต่า","0","0","0","0"
"11134  :  โรงพยาบาลอมก๋อย","0","0","0","0"
"11135  :  โรงพยาบาลสารภี","0","0","0","0"
"11136  :  โรงพยาบาลเวียงแหง","0","0","0","0"
"11137  :  โรงพยาบาลไชยปราการ","0","0","0","0"
"11138  :  โรงพยาบาลแม่วาง","0","0","0","0"
"11139  :  โรงพยาบาลแม่ออน","0","8","0","0"
"11507  :  โรงพยาบาลกองบิน 41","0","0","0","0"
"11508  :  โรงพยาบาลค่ายกาวิละ เชียงใหม่","0","0","0","0"
"11643  :  โรงพยาบาลดอยหล่อ","47","0","0","46"
"11978  :  โรงพยาบาลดารารัศมี","0","0","0","0"
"11992  :  โรงพยาบาลเทพปัญญา 2 โรงพยาบาลทั่วไปขนาดกลาง","0","0","0","0"
"11995  :  โรงพยาบาลทั่วไปขนาดใหญ่เซ็นทรัลเชียงใหม่ เมโมเรียล","0","0","0","0"
"11999  :  โรงพยาบาลทั่วไปขนาดใหญ่เชียงใหม่เมดิคอลเซ็นเตอร์","21","19","0","0"
"12279  :  โรงพยาบาลส่งเสริมสุขภาพ ศูนย์อนามัยที่ 1","0","0","0","0"
"12280  :  โรงพยาบาลสวนปรุง","0","0","0","0"
"12281  :  โรงพยาบาลประสาทเชียงใหม่","0","0","0","0"
"13775  :  สถาบันพัฒนาการเด็กราชนครินทร์","0","0","0","0"
"13780  :  โรงพยาบาลมหาราชนครเชียงใหม่  มหาวิทยาลัยเชียงใหม่","0","0","0","0"
"13785  :  โรงพยาบาลธัญญารักษ์เชียงใหม่","0","0","0","0"
"14550  :  โรงพยาบาลทั่วไปขนาดใหญ่ เชียงใหม่ใกล้หมอ","0","0","0","0"
"14916  :  โรงพยาบาลทั่วไปขนาดกลางเชียงใหม่ฮอสพิทอล","0","0","0","0"
"23736  :  โรงพยาบาลวัดจันทร์ เฉลิมพระเกียรติ 80 พรรษา","0","0","0","0"
"10714  :  โรงพยาบาลลำพูน","0","0","0","108"
"11140  :  โรงพยาบาลแม่ทา","31","1","0","0"
"11141  :  โรงพยาบาลบ้านโฮ่ง","0","0","0","53"
"11142  :  โรงพยาบาลลี้","0","0","0","0"
"11143  :  โรงพยาบาลทุ่งหัวช้าง","0","0","0","0"
"11144  :  โรงพยาบาลป่าซาง","0","0","0","0"
"11145  :  โรงพยาบาลบ้านธิ","0","0","0","20"
"12000  :  โรงพยาบาลหริภุญชัยเมโมเรียล","0","0","0","0"
"14555  :  โรงพยาบาลทั่วไปขนาดกลางศิริเวช ลำพูน","0","0","0","0"
"24956  :  โรงพยาบาลเวียงหนองล่อง","0","0","0","10"
"10672  :  โรงพยาบาลลำปาง","0","0","0","0"
"11146  :  โรงพยาบาลแม่เมาะ","0","0","0","0"
"11147  :  โรงพยาบาลเกาะคา","0","0","0","42"
"11148  :  โรงพยาบาลเสริมงาม","40","0","0","0"
"11149  :  โรงพยาบาลงาว","0","0","0","96"
"11150  :  โรงพยาบาลแจ้ห่ม","0","0","0","0"
"11151  :  โรงพยาบาลวังเหนือ","0","0","0","0"
"11152  :  โรงพยาบาลเถิน","0","0","0","0"
"11153  :  โรงพยาบาลแม่พริก","0","0","0","0"
"11154  :  โรงพยาบาลแม่ทะ","0","0","0","1"
"11155  :  โรงพยาบาลสบปราบ","103","0","0","0"
"11156  :  โรงพยาบาลห้างฉัตร","0","0","0","0"
"11157  :  โรงพยาบาลเมืองปาน","0","0","0","0"
"11512  :  โรงพยาบาลค่ายสุรศักดิ์มนตรี","0","0","0","0"
"12283  :  โรงพยาบาลมะเร็งลำปาง","0","0","0","0"
"10673  :  โรงพยาบาลอุตรดิตถ์","460","26","0","0"
"11158  :  โรงพยาบาลตรอน","26","0","0","25"
"11159  :  โรงพยาบาลท่าปลา","57","0","0","0"
"11160  :  โรงพยาบาลน้ำปาด","90","3","0","0"
"11161  :  โรงพยาบาลฟากท่า","2","0","0","0"
"11162  :  โรงพยาบาลบ้านโคก","15","3","0","14"
"11163  :  โรงพยาบาลพิชัย","51","0","0","0"
"11164  :  โรงพยาบาลลับแล","0","0","3","2"
"11165  :  โรงพยาบาลทองแสนขัน","0","0","0","0"
"11509  :  โรงพยาบาลค่ายพิชัยดาบหัก","0","0","0","0"
"10715  :  โรงพยาบาลแพร่","0","0","0","0"
"11166  :  โรงพยาบาลร้องกวาง","1","5","0","1"
"11167  :  โรงพยาบาลลอง","31","0","0","1"
"11169  :  โรงพยาบาลสูงเม่น","0","0","0","0"
"11170  :  โรงพยาบาลสอง","0","0","0","0"
"11171  :  โรงพยาบาลวังชิ้น","0","0","0","0"
"11172  :  โรงพยาบาลหนองม่วงไข่","1","0","0","2"
"11452  :  โรงพยาบาลสมเด็จพระยุพราชเด่นชัย","63","0","0","0"
"10716  :  โรงพยาบาลน่าน","0","0","0","0"
"11173  :  โรงพยาบาลแม่จริม","0","0","0","34"
"11174  :  โรงพยาบาลบ้านหลวง","0","0","0","18"
"11175  :  โรงพยาบาลนาน้อย","0","0","0","14"
"11176  :  โรงพยาบาลท่าวังผา","14","0","0","0"
"11177  :  โรงพยาบาลเวียงสา","91","0","1","89"
"11178  :  โรงพยาบาลทุ่งช้าง","0","0","0","13"
"11179  :  โรงพยาบาลเชียงกลาง","0","0","0","28"
"11180  :  โรงพยาบาลนาหมื่น","1","0","0","19"
"11181  :  โรงพยาบาลสันติสุข","0","0","0","15"
"11182  :  โรงพยาบาลบ่อเกลือ","0","0","0","12"
"11183  :  โรงพยาบาลสองแคว","15","0","0","0"
"11453  :  โรงพยาบาลสมเด็จพระยุพราชปัว","0","0","0","0"
"11510  :  โรงพยาบาลค่ายสุริยพงษ์","0","0","0","0"
"11625  :  โรงพยาบาลเฉลิมพระเกียรติ","0","0","0","0"
"25017  :  โรงพยาบาลภูเพียง","0","0","0","0"
"10717  :  โรงพยาบาลพะเยา","0","0","0","0"
"10718  :  โรงพยาบาลเชียงคำ","0","0","0","0"
"11184  :  โรงพยาบาลจุน","4","0","0","0"
"11185  :  โรงพยาบาลเชียงม่วน","0","0","0","0"
"11186  :  โรงพยาบาลดอกคำใต้","0","0","0","21"
"11187  :  โรงพยาบาลปง","23","23","0","0"
"11188  :  โรงพยาบาลแม่ใจ","0","0","0","0"
"15140  :  โรงพยาบาลค่ายขุนเจืองธรรมิกราช","0","0","0","0"
"40744  :  โรงพยาบาลภูซาง","0","0","0","0"
"40745  :  โรงพยาบาลภูกามยาว","0","0","0","0"
"41347  :  โรงพยาบาลมหาวิทยาลัยพะเยา","0","0","0","0"
"10674  :  โรงพยาบาลเชียงรายประชานุเคราะห์","0","5","0","186"
"11189  :  โรงพยาบาลเทิง","27","0","0","0"
"11190  :  โรงพยาบาลพาน","0","0","0","0"
"11191  :  โรงพยาบาลป่าแดด","1","0","0","6"
"11192  :  โรงพยาบาลแม่จัน","0","0","0","0"
"11193  :  โรงพยาบาลเชียงแสน","0","0","0","0"
"11194  :  โรงพยาบาลแม่สาย","0","0","0","0"
"11195  :  โรงพยาบาลแม่สรวย","0","0","0","0"
"11196  :  โรงพยาบาลเวียงป่าเป้า","0","0","0","62"
"11197  :  โรงพยาบาลพญาเม็งราย","0","0","0","27"
"11198  :  โรงพยาบาลเวียงแก่น","1","0","0","38"
"11199  :  โรงพยาบาลขุนตาล","0","0","0","23"
"11200  :  โรงพยาบาลแม่ฟ้าหลวง","25","0","19","33"
"11201  :  โรงพยาบาลแม่ลาว","8","0","0","0"
"11202  :  โรงพยาบาลเวียงเชียงรุ้ง","0","0","2","36"
"11454  :  โรงพยาบาลสมเด็จพระยุพราชเชียงของ","31","0","0","0"
"15012  :  โรงพยาบาลสมเด็จพระญาณสังวร","0","0","0","4"
"23429  :  โรงพยาบาลมหาวิทยาลัยแม่ฟ้าหลวง","0","0","0","0"
"28823  :  โรงพยาบาลดอยหลวง","0","0","0","0"
"41509  :  โรงพยาบาลศูนย์การแพทย์มหาวิทยาลัยแม่ฟ้าหลวง","0","0","0","0"
"10719  :  โรงพยาบาลศรีสังวาลย์","1","0","0","0"
"11203  :  โรงพยาบาลขุนยวม","0","0","0","44"
"11204  :  โรงพยาบาลปาย","2","3","0","0"
"11205  :  โรงพยาบาลแม่สะเรียง","0","0","0","0"
"11206  :  โรงพยาบาลแม่ลาน้อย","0","0","0","47"
"11207  :  โรงพยาบาลสบเมย","11","0","0","18"
"11208  :  โรงพยาบาลปางมะผ้า","0","45","0","0"
"14197  :  โรงพยาบาลธัญญรักษ์แม่ฮ่องสอน","0","0","0","0"
"10675  :  โรงพยาบาลสวรรค์ประชารักษ์","0","0","0","0"
"11209  :  โรงพยาบาลโกรกพระ","3","0","0","0"
"11210  :  โรงพยาบาลชุมแสง","0","17","0","6"
"11211  :  โรงพยาบาลหนองบัว","1","0","0","0"
"11212  :  โรงพยาบาลบรรพตพิสัย","0","0","0","57"
