"โรงพยาบาล","จำนวนหน่วยบริการที่ผ่านเกณฑ์","ประชากรผู้สูงอายุ(คน)","จำนวนคัดกรองทั้งหมด(คน)","จำนวนคัดกรองผ่านเกณฑ์(คน)","ร้อยละ","จำนวนผิดปกติ/เสี่ยงStep 1 (คน)","จำนวนผิดปกติ/เสี่ยงStep 2 (คน)","จำนวนที่ได้รับintervention(คน)","ร้อยละ"
"10864  :  โรงพยาบาลบ้านนา","1","1,537","1,148","1,079","70.20","97","1","1","100.00"
"10865  :  โรงพยาบาลองครักษ์","1","624","538","531","85.10","252","33","20","60.61"
"11491  :  โรงพยาบาลรร.นายร้อยพระจุลจอมเกล้า","0","0","0","0","0.00","0","0","0","0.00"
"14904  :  โรงพยาบาลศูนย์การแพทย์สมเด็จพระเทพรัตนราชสุดาฯ","0","0","0","0","0.00","0","0","0","0.00"
"10699  :  โรงพยาบาลสมเด็จพระยุพราชสระแก้ว","0","1","0","0","0.00","0","0","0","0.00"
"10866  :  โรงพยาบาลคลองหาด","0","1,330","1,259","0","0.00","14","0","0","0.00"
"10867  :  โรงพยาบาลตาพระยา","0","1,023","33","0","0.00","8","0","0","0.00"
"10868  :  โรงพยาบาลวังน้ำเย็น","0","3,897","1,008","0","0.00","440","12","12","100.00"
"10869  :  โรงพยาบาลวัฒนานคร","0","1,822","1,725","0","0.00","58","0","0","0.00"
"10870  :  โรงพยาบาลอรัญประเทศ","0","1,312","368","0","0.00","0","0","0","0.00"
"13817  :  โรงพยาบาลเขาฉกรรจ์","0","830","409","0","0.00","45","0","0","0.00"
"14717  :  โรงพยาบาลจิตเวชสระแก้วราชนครินทร์","0","0","0","0","0.00","0","0","0","0.00"
"10666  :  โรงพยาบาลมหาราชนครราชสีมา","0","0","0","0","0.00","0","0","0","0.00"
"10871  :  โรงพยาบาลครบุรี","0","1,873","1,828","0","0.00","486","2","0","0.00"
"10872  :  โรงพยาบาลเสิงสาง","0","1,776","12","0","0.00","1","0","0","0.00"
"10873  :  โรงพยาบาลคง","0","1,786","4","0","0.00","0","0","0","0.00"
"10874  :  โรงพยาบาลบ้านเหลื่อม","0","1,105","985","0","0.00","645","2","0","0.00"
"10875  :  โรงพยาบาลจักราช","0","1,492","1,456","0","0.00","1,454","7","0","0.00"
"10876  :  โรงพยาบาลโชคชัย","0","2,234","854","0","0.00","35","4","0","0.00"
"10877  :  โรงพยาบาลด่านขุนทด","0","2,366","2,352","0","0.00","36","1","0","0.00"
"10878  :  โรงพยาบาลโนนไทย","0","2,183","2,132","0","0.00","1,129","8","0","0.00"
"10879  :  โรงพยาบาลโนนสูง","0","1,732","1,685","0","0.00","67","1","0","0.00"
"10880  :  โรงพยาบาลขามสะแกแสง","0","2,207","1,607","0","0.00","0","0","0","0.00"
"10881  :  โรงพยาบาลบัวใหญ่","0","1,081","1,036","0","0.00","1","0","0","0.00"
"10882  :  โรงพยาบาลประทาย","0","1,511","1,382","0","0.00","172","0","0","0.00"
"10883  :  โรงพยาบาลปักธงชัย","0","1,225","1,122","0","0.00","3","0","0","0.00"
"10884  :  โรงพยาบาลพิมาย","0","2,134","2,045","0","0.00","27","0","0","0.00"
"10885  :  โรงพยาบาลห้วยแถลง","0","1,937","1,602","0","0.00","3","0","0","0.00"
"10886  :  โรงพยาบาลชุมพวง","0","1,803","1,719","0","0.00","436","4","0","0.00"
"10887  :  โรงพยาบาลสูงเนิน","0","3,561","2,794","0","0.00","795","8","0","0.00"
"10888  :  โรงพยาบาลขามทะเลสอ","0","1,305","676","0","0.00","289","2","0","0.00"
"10889  :  โรงพยาบาลสีคิ้ว","0","3,091","2,682","0","0.00","487","8","0","0.00"
"10890  :  โรงพยาบาลปากช่องนานา","0","2,295","1,953","0","0.00","0","5","0","0.00"
"10891  :  โรงพยาบาลหนองบุญมาก","0","655","649","0","0.00","79","1","0","0.00"
"10892  :  โรงพยาบาลแก้งสนามนาง","0","1,376","1,335","0","0.00","57","38","1","2.63"
"10893  :  โรงพยาบาลโนนแดง","0","1,320","1,191","0","0.00","874","4","0","0.00"
"10894  :  โรงพยาบาลวังน้ำเขียว","0","555","531","0","0.00","7","1","0","0.00"
"11492  :  โรงพยาบาลค่ายสุรนารี นครราชสีมา","0","0","0","0","0.00","0","0","0","0.00"
"11602  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จย่า 100 ปี","0","510","503","0","0.00","33","0","0","0.00"
"11608  :  โรงพยาบาลลำทะเมนชัย","0","1,091","1,043","0","0.00","147","0","0","0.00"
"11885  :  โรงพยาบาลเดอะโกลเดนเกท","0","2,698","81","0","0.00","6","0","0","0.00"
"11891  :  โรงพยาบาลราชสีมาฮอสพิทอล","0","3,202","43","0","0.00","1","0","0","0.00"
"12267  :  ศูนย์อนามัยที่ 9 นครราชสีมา","0","0","0","0","0.00","0","0","0","0.00"
"12268  :  โรงพยาบาลจิตเวชนครราชสีมาราชนครินทร์","0","0","0","0","0.00","0","0","0","0.00"
"14161  :  โรงพยาบาลกองบิน กองบิน1","0","154","5","0","0.00","0","0","0","0.00"
"22456  :  โรงพยาบาลพระทองคำ เฉลิมพระเกียรติ 80 พรรษา","0","1,255","6","0","0.00","0","0","0","0.00"
"23839  :  โรงพยาบาลเทพรัตน์นครราชสีมา","0","255","246","0","0.00","3","12","0","0.00"
"24060  :  โรงพยาบาลมหาวิทยาลัยเทคโนโลยีสุรนารี","0","252","84","0","0.00","5","1","0","0.00"
"24692  :  โรงพยาบาลเฉลิมพระเกียรติ","0","879","842","0","0.00","18","0","0","0.00"
"27839  :  โรงพยาบาลบัวลาย","0","745","729","0","0.00","0","0","0","0.00"
"27840  :  โรงพยาบาลสีดา","0","574","566","0","0.00","146","2","0","0.00"
"27841  :  โรงพยาบาลเทพารักษ์","0","1,164","1,052","0","0.00","16","0","0","0.00"
"10667  :  โรงพยาบาลบุรีรัมย์","0","0","0","0","0.00","0","0","0","0.00"
"10895  :  โรงพยาบาลคูเมือง","0","1,611","1,344","0","0.00","48","0","0","0.00"
"10896  :  โรงพยาบาลกระสัง","0","1,491","1,433","0","0.00","86","19","18","94.74"
"10897  :  โรงพยาบาลนางรอง","0","0","0","0","0.00","0","0","0","0.00"
"10898  :  โรงพยาบาลหนองกี่","0","1,701","1,225","0","0.00","18","0","0","0.00"
"10899  :  โรงพยาบาลละหานทราย","0","1,568","1,199","0","0.00","74","6","6","100.00"
"10900  :  โรงพยาบาลประโคนชัย","0","2,757","1,761","0","0.00","301","5","5","100.00"
"10901  :  โรงพยาบาลบ้านกรวด","0","1,714","450","0","0.00","127","3","1","33.33"
"10902  :  โรงพยาบาลพุทไธสง","0","1,952","1,724","0","0.00","25","8","8","100.00"
"10904  :  โรงพยาบาลลำปลายมาศ","0","0","0","0","0.00","0","0","0","0.00"
"10905  :  โรงพยาบาลสตึก","0","1,350","1,339","0","0.00","0","0","0","0.00"
"10906  :  โรงพยาบาลปะคำ","0","1,115","1,068","0","0.00","103","0","0","0.00"
"10907  :  โรงพยาบาลนาโพธิ์","0","1,070","1,044","0","0.00","258","0","0","0.00"
"10908  :  โรงพยาบาลหนองหงส์","0","1,135","1,104","0","0.00","280","3","2","66.67"
"10909  :  โรงพยาบาลพลับพลาชัย","0","1,264","554","0","0.00","29","1","1","100.00"
"10910  :  โรงพยาบาลห้วยราช","0","627","599","0","0.00","158","4","1","25.00"
"10911  :  โรงพยาบาลโนนสุวรรณ","0","855","853","0","0.00","0","0","0","0.00"
"10912  :  โรงพยาบาลชำนิ","0","663","656","0","0.00","41","4","2","50.00"
"10913  :  โรงพยาบาลบ้านใหม่ไชยพจน์","0","722","604","0","0.00","1","3","3","100.00"
"10914  :  โรงพยาบาลโนนดินแดง","0","1,348","1,311","0","0.00","0","0","0","0.00"
"11493  :  โรงพยาบาลค่ายสมเด็จเจ้าพระยามหากษัตริย์ศึก","0","51","11","0","0.00","0","0","0","0.00"
"11619  :  โรงพยาบาลเฉลิมพระเกียรติ","0","1,277","928","0","0.00","0","0","0","0.00"
"23578  :  โรงพยาบาลแคนดง","0","1,323","1,206","0","0.00","0","0","0","0.00"
"28020  :  โรงพยาบาลบ้านด่าน","0","1,466","1,427","0","0.00","393","1","0","0.00"
"10668  :  โรงพยาบาลสุรินทร์","0","76","3","0","0.00","1","0","0","0.00"
"10915  :  โรงพยาบาลชุมพลบุรี","0","1,425","1,349","0","0.00","30","0","0","0.00"
"10916  :  โรงพยาบาลท่าตูม","0","3,123","1,616","0","0.00","481","0","0","0.00"
"10917  :  โรงพยาบาลจอมพระ","0","1,891","1,719","0","0.00","412","44","20","45.45"
"10918  :  โรงพยาบาลปราสาท","0","2,016","476","0","0.00","235","2","2","100.00"
"10919  :  โรงพยาบาลกาบเชิง","0","1,173","1,043","0","0.00","722","1","1","100.00"
"10920  :  โรงพยาบาลรัตนบุรี","0","2,056","1,979","2","0.10","2","0","0","0.00"
"10921  :  โรงพยาบาลสนม","0","1,361","605","0","0.00","14","2","2","100.00"
"10922  :  โรงพยาบาลศีขรภูมิ","0","1,981","1,369","0","0.00","8","0","0","0.00"
"10923  :  โรงพยาบาลสังขะ","0","1,838","25","0","0.00","0","0","0","0.00"
"10924  :  โรงพยาบาลลำดวน","0","1,504","1,432","0","0.00","144","0","0","0.00"
"10925  :  โรงพยาบาลสำโรงทาบ","0","1,463","1,232","0","0.00","227","2","2","100.00"
"10926  :  โรงพยาบาลบัวเชด","0","1,179","1,142","0","0.00","0","2","0","0.00"
"11494  :  โรงพยาบาลค่ายวีรวัฒน์โยธิน","0","128","42","0","0.00","3","0","0","0.00"
"22302  :  โรงพยาบาลพนมดงรัก เฉลิมพระเกียรติ 80 พรรษา","0","548","527","0","0.00","108","3","0","0.00"
"27842  :  โรงพยาบาลเขวาสินรินทร์","1","693","666","617","89.03","209","17","12","70.59"
"27843  :  โรงพยาบาลศรีณรงค์","0","595","588","0","0.00","0","0","0","0.00"
"27844  :  โรงพยาบาลโนนนารายณ์","0","493","418","0","0.00","33","0","0","0.00"
"10700  :  โรงพยาบาลศรีสะเกษ","0","160","3","0","0.00","0","0","0","0.00"
"10927  :  โรงพยาบาลยางชุมน้อย","0","1,081","516","0","0.00","5","0","0","0.00"
"10928  :  โรงพยาบาลกันทรารมย์","0","1,645","1,636","0","0.00","130","128","14","10.94"
"10929  :  โรงพยาบาลกันทรลักษ์","0","1,990","40","0","0.00","39","0","0","0.00"
"10930  :  โรงพยาบาลขุขันธ์","0","1,999","1","0","0.00","0","0","0","0.00"
"10931  :  โรงพยาบาลไพรบึง","0","2,246","2,084","0","0.00","310","5","4","80.00"
"10932  :  โรงพยาบาลปรางค์กู่","0","1,045","718","0","0.00","0","0","0","0.00"
"10933  :  โรงพยาบาลขุนหาญ","0","1,505","1,455","0","0.00","18","12","12","100.00"
"10934  :  โรงพยาบาลราษีไศล","0","1,324","1,321","0","0.00","60","3","3","100.00"
"10935  :  โรงพยาบาลอุทุมพรพิสัย","0","1,394","438","0","0.00","1","0","0","0.00"
"10936  :  โรงพยาบาลบึงบูรพ์","0","1,030","827","0","0.00","38","13","13","100.00"
"10937  :  โรงพยาบาลห้วยทับทัน","0","856","751","0","0.00","40","7","0","0.00"
"10938  :  โรงพยาบาลโนนคูณ","0","377","106","0","0.00","33","0","0","0.00"
"10939  :  โรงพยาบาลศรีรัตนะ","0","842","620","0","0.00","8","0","0","0.00"
"10940  :  โรงพยาบาลวังหิน","0","481","461","0","0.00","4","0","0","0.00"
"10941  :  โรงพยาบาลน้ำเกลี้ยง","0","332","315","0","0.00","14","0","0","0.00"
"10942  :  โรงพยาบาลภูสิงห์","0","709","575","0","0.00","2","0","0","0.00"
"10943  :  โรงพยาบาลเมืองจันทร์","0","402","400","0","0.00","385","0","0","0.00"
"23125  :  โรงพยาบาลเบญจลักษ์เฉลิมพระเกียรติ 80 พรรษา","0","716","500","0","0.00","310","0","0","0.00"
"28014  :  โรงพยาบาลพยุห์","0","447","362","0","0.00","9","0","0","0.00"
"28015  :  โรงพยาบาลโพธิ์ศรีสุวรรณ","0","363","2","0","0.00","0","0","0","0.00"
"28016  :  โรงพยาบาลศิลาลาด","0","875","272","0","0.00","0","0","0","0.00"
"10669  :  โรงพยาบาลสรรพสิทธิประสงค์","0","0","0","0","0.00","0","0","0","0.00"
"10944  :  โรงพยาบาลศรีเมืองใหม่","0","1,392","896","0","0.00","0","0","0","0.00"
"10945  :  โรงพยาบาลโขงเจียม","0","930","59","0","0.00","1","0","0","0.00"
"10946  :  โรงพยาบาลเขื่องใน","0","0","0","0","0.00","0","0","0","0.00"
"10947  :  โรงพยาบาลเขมราฐ","0","2,315","968","0","0.00","1","0","0","0.00"
"10948  :  โรงพยาบาลนาจะหลวย","0","1,841","8","0","0.00","1","0","0","0.00"
"10949  :  โรงพยาบาลน้ำยืน","0","0","0","0","0.00","0","0","0","0.00"
"10950  :  โรงพยาบาลบุณฑริก","0","689","331","0","0.00","0","0","0","0.00"
"10951  :  โรงพยาบาลตระการพืชผล","0","1,381","1,195","0","0.00","45","1","1","100.00"
"10952  :  โรงพยาบาลกุดข้าวปุ้น","0","1,506","960","0","0.00","0","0","0","0.00"
"10953  :  โรงพยาบาลม่วงสามสิบ","0","1,492","1,243","0","0.00","0","0","0","0.00"
"10954  :  โรงพยาบาลวารินชำราบ","0","674","49","0","0.00","15","0","0","0.00"
"10956  :  โรงพยาบาลพิบูลมังสาหาร","0","1,507","13","0","0.00","2","0","0","0.00"
"10957  :  โรงพยาบาลตาลสุม","0","792","606","0","0.00","41","0","0","0.00"
"10958  :  โรงพยาบาลโพธิ์ไทร","0","992","827","0","0.00","1","0","0","0.00"
"10959  :  โรงพยาบาลสำโรง","0","886","0","0","0.00","0","0","0","0.00"
"10960  :  โรงพยาบาลดอนมดแดง","0","600","194","0","0.00","0","0","0","0.00"
"10961  :  โรงพยาบาลสิรินธร","0","900","214","0","0.00","0","0","0","0.00"
"10962  :  โรงพยาบาลทุ่งศรีอุดม","0","734","235","0","0.00","0","0","0","0.00"
"11443  :  โรงพยาบาลสมเด็จพระยุพราชเดชอุดม","0","0","0","0","0.00","0","0","0","0.00"
"11495  :  โรงพยาบาลกองบิน 21","0","0","0","0","0.00","0","0","0","0.00"
"11496  :  โรงพยาบาลค่ายสรรพสิทธิประสงค์","0","1,211","23","0","0.00","2","0","0","0.00"
"11918  :  โรงพยาบาลเอกชนร่มเกล้า","0","555","1","0","0.00","0","0","0","0.00"
"12269  :  โรงพยาบาลพระศรีมหาโพธิ์","0","0","0","0","0.00","0","0","0","0.00"
"12270  :  โรงพยาบาลส่งเสริมสุขภาพ ศูนย์อนามัยที่ 10","0","2","0","0","0.00","0","0","0","0.00"
"21984  :  โรงพยาบาล 50 พรรษา มหาวชิราลงกรณ","0","0","0","0","0.00","0","0","0","0.00"
"24032  :  โรงพยาบาลนาตาล","0","221","15","0","0.00","2","0","0","0.00"
"24821  :  โรงพยาบาลนาเยีย","0","0","0","0","0.00","0","0","0","0.00"
"27967  :  โรงพยาบาลสว่างวีระวงศ์","0","0","0","0","0.00","0","0","0","0.00"
"27968  :  โรงพยาบาลน้ำขุ่น","0","357","151","0","0.00","0","0","0","0.00"
"27976  :  โรงพยาบาลเหล่าเสือโก้ก","1","271","260","253","93.36","71","15","15","100.00"
"10701  :  โรงพยาบาลยโสธร","0","0","0","0","0.00","0","0","0","0.00"
"10963  :  โรงพยาบาลทรายมูล","0","0","0","0","0.00","0","0","0","0.00"
"10964  :  โรงพยาบาลกุดชุม","0","0","0","0","0.00","0","0","0","0.00"
"10965  :  โรงพยาบาลคำเขื่อนแก้ว","0","2,124","519","0","0.00","1","0","0","0.00"
"10966  :  โรงพยาบาลป่าติ้ว","0","1,531","1,274","0","0.00","20","6","6","100.00"
"10967  :  โรงพยาบาลมหาชนะชัย","0","1,000","824","0","0.00","159","4","4","100.00"
"10968  :  โรงพยาบาลค้อวัง","0","882","657","34","3.85","10","13","13","100.00"
"10969  :  โรงพยาบาลไทยเจริญ","0","584","576","4","0.68","114","0","0","0.00"
"11444  :  โรงพยาบาลสมเด็จพระยุพราชเลิงนกทา","0","1,855","97","1","0.05","1","0","0","0.00"
"11921  :  โรงพยาบาลนายแพทย์หาญ","0","291","149","0","0.00","29","1","1","100.00"
"04007  :  โรงพยาบาลซับใหญ่","0","488","1","0","0.00","0","0","0","0.00"
"10702  :  โรงพยาบาลชัยภูมิ","0","0","0","0","0.00","0","0","0","0.00"
"10970  :  โรงพยาบาลบ้านเขว้า","0","3,136","287","0","0.00","253","0","0","0.00"
"10971  :  โรงพยาบาลคอนสวรรค์","0","2,144","2,095","0","0.00","0","0","0","0.00"
"10972  :  โรงพยาบาลเกษตรสมบูรณ์","0","2,003","1,740","0","0.00","144","0","0","0.00"
"10973  :  โรงพยาบาลหนองบัวแดง","0","2,570","518","0","0.00","57","0","0","0.00"
"10974  :  โรงพยาบาลจัตุรัส","0","2,172","15","0","0.00","6","0","0","0.00"
"10975  :  โรงพยาบาลบำเหน็จณรงค์","0","2,965","2,719","0","0.00","26","7","7","100.00"
"10976  :  โรงพยาบาลหนองบัวระเหว","0","1,086","338","0","0.00","154","0","0","0.00"
"10977  :  โรงพยาบาลเทพสถิต","0","1,414","0","0","0.00","0","0","0","0.00"
"10978  :  โรงพยาบาลภูเขียวเฉลิมพระเกียรติ","0","3,661","3,175","0","0.00","530","31","19","61.29"
"10979  :  โรงพยาบาลบ้านแท่น","0","1,720","1,565","0","0.00","3","0","0","0.00"
"10980  :  โรงพยาบาลแก้งคร้อ","0","2,514","2","0","0.00","0","0","0","0.00"
"10981  :  โรงพยาบาลคอนสาร","0","1,502","1,396","0","0.00","86","0","0","0.00"
"10982  :  โรงพยาบาลภักดีชุมพล","0","871","715","0","0.00","66","0","0","0.00"
"10983  :  โรงพยาบาลเนินสง่า","0","641","419","0","0.00","162","0","0","0.00"
"10703  :  โรงพยาบาลอำนาจเจริญ","0","0","0","0","0.00","0","0","0","0.00"
"10985  :  โรงพยาบาลชานุมาน","0","1,099","62","0","0.00","0","0","0","0.00"
"10986  :  โรงพยาบาลปทุมราชวงศา","0","1,112","431","0","0.00","0","0","0","0.00"
"10987  :  โรงพยาบาลพนา","0","974","463","0","0.00","7","0","0","0.00"
"10988  :  โรงพยาบาลเสนางคนิคม","0","1,921","6","0","0.00","0","0","0","0.00"
"10989  :  โรงพยาบาลหัวตะพาน","0","785","747","0","0.00","192","1","0","0.00"
"10990  :  โรงพยาบาลลืออำนาจ","0","873","753","0","0.00","3","0","0","0.00"
"11040  :  โรงพยาบาลบึงกาฬ","0","1,643","1,094","0","0.00","0","0","0","0.00"
"11041  :  โรงพยาบาลพรเจริญ","0","1,338","1,309","0","0.00","78","8","8","100.00"
"11043  :  โรงพยาบาลโซ่พิสัย","0","2,012","1,216","0","0.00","0","0","0","0.00"
"11046  :  โรงพยาบาลเซกา","0","2,300","952","0","0.00","69","0","0","0.00"
"11047  :  โรงพยาบาลปากคาด","0","1,325","1,188","0","0.00","0","0","0","0.00"
"11048  :  โรงพยาบาลบึงโขงหลง","0","0","0","0","0.00","0","0","0","0.00"
"11049  :  โรงพยาบาลศรีวิไล","0","1,705","115","0","0.00","28","0","0","0.00"
"11050  :  โรงพยาบาลบุ่งคล้า","0","375","0","0","0.00","0","0","0","0.00"
"10704  :  โรงพยาบาลหนองบัวลำภู","0","0","0","0","0.00","0","0","0","0.00"
"10991  :  โรงพยาบาลนากลาง","0","0","0","0","0.00","0","0","0","0.00"
"10992  :  โรงพยาบาลโนนสัง","0","0","0","0","0.00","0","0","0","0.00"
"10993  :  โรงพยาบาลศรีบุญเรือง","0","0","0","0","0.00","0","0","0","0.00"
"10994  :  โรงพยาบาลสุวรรณคูหา","0","0","0","0","0.00","0","0","0","0.00"
"23367  :  โรงพยาบาลนาวัง เฉลิมพระเกียรติ 80 พรรษา","0","3","2","0","0.00","0","0","0","0.00"
"10670  :  โรงพยาบาลขอนแก่น","0","0","0","0","0.00","0","0","0","0.00"
"10995  :  โรงพยาบาลบ้านฝาง","0","0","0","0","0.00","0","0","0","0.00"
"10996  :  โรงพยาบาลพระยืน","0","0","0","0","0.00","0","0","0","0.00"
"10997  :  โรงพยาบาลหนองเรือ","0","0","0","0","0.00","0","0","0","0.00"
"10998  :  โรงพยาบาลชุมแพ","0","0","0","0","0.00","0","0","0","0.00"
"10999  :  โรงพยาบาลสีชมพู","0","1,841","1,707","0","0.00","6","0","0","0.00"
"11000  :  โรงพยาบาลน้ำพอง","0","1,662","65","0","0.00","49","0","0","0.00"
"11001  :  โรงพยาบาลอุบลรัตน์","0","1,111","1,087","0","0.00","3","0","0","0.00"
"11002  :  โรงพยาบาลบ้านไผ่","0","0","0","0","0.00","0","0","0","0.00"
"11003  :  โรงพยาบาลเปือยน้อย","0","659","650","0","0.00","13","10","9","90.00"
"11004  :  โรงพยาบาลพล","0","0","0","0","0.00","0","0","0","0.00"
"11005  :  โรงพยาบาลแวงใหญ่","0","946","0","0","0.00","0","0","0","0.00"
"11006  :  โรงพยาบาลแวงน้อย","0","1,578","1,547","0","0.00","1","0","0","0.00"
"11007  :  โรงพยาบาลหนองสองห้อง","0","0","0","0","0.00","0","0","0","0.00"
"11008  :  โรงพยาบาลภูเวียง","0","0","0","0","0.00","0","0","0","0.00"
"11009  :  โรงพยาบาลมัญจาคีรี","0","1,760","42","0","0.00","3","0","0","0.00"
"11010  :  โรงพยาบาลชนบท","0","0","0","0","0.00","0","0","0","0.00"
"11011  :  โรงพยาบาลเขาสวนกวาง","0","0","0","0","0.00","0","0","0","0.00"
"11012  :  โรงพยาบาลภูผาม่าน","0","0","0","0","0.00","0","0","0","0.00"
"11445  :  โรงพยาบาลสมเด็จพระยุพราชกระนวน","0","3,446","269","0","0.00","38","3","3","100.00"
"11497  :  โรงพยาบาลค่ายศรีพัชรินทร","0","0","0","0","0.00","0","0","0","0.00"
"11936  :  โรงพยาบาลขอนแก่นราม","0","0","0","0","0.00","0","0","0","0.00"
"12272  :  โรงพยาบาลจิตเวชขอนแก่นราชนครินทร์","0","0","0","0","0.00","0","0","0","0.00"
"12273  :  โรงพยาบาลส่งเสริมสุขภาพ ศูนย์อนามัยที่ 7","0","0","0","0","0.00","0","0","0","0.00"
"12275  :  โรงพยาบาลสิรินธร(ภาคตะวันออกเฉียงเหนือ)","0","0","0","0","0.00","0","0","0","0.00"
"13777  :  โรงพยาบาลศรีนครินทร์ มหาวิทยาลัยขอนแก่น","0","0","0","0","0.00","0","0","0","0.00"
"14132  :  โรงพยาบาลซำสูง","0","0","0","0","0.00","0","0","0","0.00"
"14196  :  โรงพยาบาลธัญญรักษ์ขอนแก่น","0","0","0","0","0.00","0","0","0","0.00"
"24746  :  สถาบันสุขภาพจิตเด็กและวัยรุ่นภาคตะวันออกเฉียงเหนือ","0","0","0","0","0.00","0","0","0","0.00"
"77649  :  โรงพยาบาลหนองนาคำ","0","176","2","0","0.00","0","0","0","0.00"
"77650  :  โรงพยาบาลเวียงเก่า","0","165","140","0","0.00","1","0","0","0.00"
"77651  :  โรงพยาบาลโคกโพธิ์ไชย","0","553","373","0","0.00","18","1","1","100.00"
"77652  :  โรงพยาบาลโนนศิลา","0","210","1","0","0.00","0","0","0","0.00"
"10671  :  โรงพยาบาลอุดรธานี","0","0","0","0","0.00","0","0","0","0.00"
"11013  :  โรงพยาบาลกุดจับ","0","1,134","142","0","0.00","13","0","0","0.00"
"11014  :  โรงพยาบาลหนองวัวซอ","0","1,333","1,300","0","0.00","17","2","2","100.00"
"11015  :  โรงพยาบาลกุมภวาปี","0","2,754","2,092","0","0.00","93","4","1","25.00"
"11016  :  โรงพยาบาลห้วยเกิ้ง","0","1","0","0","0.00","0","0","0","0.00"
"11017  :  โรงพยาบาลโนนสะอาด","0","1,531","1,411","0","0.00","36","1","1","100.00"
"11018  :  โรงพยาบาลหนองหาน","0","2,850","1,844","0","0.00","0","0","0","0.00"
"11019  :  โรงพยาบาลทุ่งฝน","0","1,637","1,439","0","0.00","1","0","0","0.00"
"11020  :  โรงพยาบาลไชยวาน","0","1,538","1,223","0","0.00","24","0","0","0.00"
"11021  :  โรงพยาบาลศรีธาตุ","0","788","732","0","0.00","186","2","1","50.00"
"11022  :  โรงพยาบาลวังสามหมอ","0","1,274","1,190","0","0.00","20","0","0","0.00"
"11023  :  โรงพยาบาลบ้านผือ","0","2,057","2,028","0","0.00","8","0","0","0.00"
"11024  :  โรงพยาบาลน้ำโสม","0","2,399","1,570","0","0.00","28","0","0","0.00"
"11025  :  โรงพยาบาลเพ็ญ","0","1,932","1,798","0","0.00","1","0","0","0.00"
"11026  :  โรงพยาบาลสร้างคอม","0","1,348","1,029","0","0.00","36","0","0","0.00"
"11027  :  โรงพยาบาลหนองแสง","0","1,181","912","0","0.00","85","4","4","100.00"
"11028  :  โรงพยาบาลนายูง","0","505","483","0","0.00","5","1","0","0.00"
"11029  :  โรงพยาบาลพิบูลย์รักษ์","0","715","648","0","0.00","343","4","4","100.00"
"11446  :  โรงพยาบาลสมเด็จพระยุพราชบ้านดุง","0","2,834","2,252","0","0.00","20","15","14","93.33"
"11501  :  โรงพยาบาลค่ายประจักษ์ศิลปาคม","0","217","4","0","0.00","0","0","0","0.00"
"12276  :  โรงพยาบาลมะเร็งอุดรธานี","0","0","0","0","0.00","0","0","0","0.00"
"23951  :  โรงพยาบาลธัญญารักษ์อุดรธานี","0","0","0","0","0.00","0","0","0","0.00"
"25058  :  โรงพยาบาลกู่แก้ว","0","0","0","0","0.00","0","0","0","0.00"
"25059  :  โรงพยาบาลประจักษ์ศิลปาคม","0","0","0","0","0.00","0","0","0","0.00"
"10705  :  โรงพยาบาลเลย","0","3,940","3,600","0","0.00","102","20","19","95.00"
"11030  :  โรงพยาบาลนาด้วง","0","1,513","566","0","0.00","49","2","2","100.00"
"11031  :  โรงพยาบาลเชียงคาน","0","2,275","2,180","0","0.00","411","38","37","97.37"
"11032  :  โรงพยาบาลปากชม","0","798","706","0","0.00","0","0","0","0.00"
"11033  :  โรงพยาบาลนาแห้ว","0","382","378","0","0.00","11","0","0","0.00"
"11034  :  โรงพยาบาลภูเรือ","0","1,067","1,051","0","0.00","4","0","0","0.00"
"11035  :  โรงพยาบาลท่าลี่","0","836","796","0","0.00","2","0","0","0.00"
"11036  :  โรงพยาบาลวังสะพุง","0","2,946","2,860","0","0.00","19","1","1","100.00"
"11037  :  โรงพยาบาลภูกระดึง","0","2,159","1,176","0","0.00","18","1","1","100.00"
"11038  :  โรงพยาบาลภูหลวง","0","1,147","1,094","0","0.00","17","1","1","100.00"
"11039  :  โรงพยาบาลผาขาว","0","1,467","1,450","0","0.00","22","15","15","100.00"
"11447  :  โรงพยาบาลสมเด็จพระยุพราชด่านซ้าย","0","1,915","502","0","0.00","11","2","0","0.00"
"14133  :  โรงพยาบาลเอราวัณ","0","1,123","1,102","0","0.00","1","1","1","100.00"
"14644  :  โรงพยาบาลจิตเวชเลยราชนครินทร์","0","0","0","0","0.00","0","0","0","0.00"
"28861  :  โรงพยาบาลหนองหิน","0","144","136","0","0.00","12","2","2","100.00"
"10706  :  โรงพยาบาลหนองคาย","0","4,120","1,793","0","0.00","170","2","2","100.00"
"11042  :  โรงพยาบาลโพนพิสัย","0","910","906","0","0.00","0","0","0","0.00"
"11044  :  โรงพยาบาลศรีเชียงใหม่","0","2,039","1,985","0","0.00","89","1","1","100.00"
"11045  :  โรงพยาบาลสังคม","0","616","2","0","0.00","0","0","0","0.00"
"11448  :  โรงพยาบาลสมเด็จพระยุพราชท่าบ่อ","0","3,161","3,095","0","0.00","424","12","5","41.67"
"14558  :  โรงพยาบาลพิสัยเวช","0","1,155","2","0","0.00","0","0","0","0.00"
"21356  :  โรงพยาบาลสระใคร","0","316","314","0","0.00","5","0","0","0.00"
