"โรงพยาบาล","B","A","อัตรา"
"10949  :  โรงพยาบาลน้ำยืน","1","1","100.00"
"10950  :  โรงพยาบาลบุณฑริก","12","12","100.00"
"10951  :  โรงพยาบาลตระการพืชผล","8","8","100.00"
"10952  :  โรงพยาบาลกุดข้าวปุ้น","17","17","100.00"
"10953  :  โรงพยาบาลม่วงสามสิบ","15","15","100.00"
"10954  :  โรงพยาบาลวารินชำราบ","0","0","0.00"
"10956  :  โรงพยาบาลพิบูลมังสาหาร","1","1","100.00"
"10957  :  โรงพยาบาลตาลสุม","7","7","100.00"
"10958  :  โรงพยาบาลโพธิ์ไทร","9","9","100.00"
"10959  :  โรงพยาบาลสำโรง","8","8","100.00"
"10960  :  โรงพยาบาลดอนมดแดง","9","9","100.00"
"10961  :  โรงพยาบาลสิรินธร","8","8","100.00"
"10962  :  โรงพยาบาลทุ่งศรีอุดม","8","8","100.00"
"11443  :  โรงพยาบาลสมเด็จพระยุพราชเดชอุดม","0","0","0.00"
"11495  :  โรงพยาบาลกองบิน 21","0","0","0.00"
"11496  :  โรงพยาบาลค่ายสรรพสิทธิประสงค์","4","4","100.00"
"11918  :  โรงพยาบาลเอกชนร่มเกล้า","7","7","100.00"
"12269  :  โรงพยาบาลพระศรีมหาโพธิ์","0","0","0.00"
"12270  :  โรงพยาบาลส่งเสริมสุขภาพ ศูนย์อนามัยที่ 10","0","0","0.00"
"21984  :  โรงพยาบาล 50 พรรษา มหาวชิราลงกรณ","0","0","0.00"
"24032  :  โรงพยาบาลนาตาล","3","3","100.00"
"24821  :  โรงพยาบาลนาเยีย","0","0","0.00"
"27967  :  โรงพยาบาลสว่างวีระวงศ์","0","0","0.00"
"27968  :  โรงพยาบาลน้ำขุ่น","0","0","0.00"
"27976  :  โรงพยาบาลเหล่าเสือโก้ก","3","3","100.00"
"10701  :  โรงพยาบาลยโสธร","0","0","0.00"
"10963  :  โรงพยาบาลทรายมูล","0","0","0.00"
"10964  :  โรงพยาบาลกุดชุม","0","0","0.00"
"10965  :  โรงพยาบาลคำเขื่อนแก้ว","13","13","100.00"
"10966  :  โรงพยาบาลป่าติ้ว","16","16","100.00"
"10967  :  โรงพยาบาลมหาชนะชัย","6","6","100.00"
"10968  :  โรงพยาบาลค้อวัง","13","13","100.00"
"10969  :  โรงพยาบาลไทยเจริญ","11","11","100.00"
"11444  :  โรงพยาบาลสมเด็จพระยุพราชเลิงนกทา","11","11","100.00"
"11921  :  โรงพยาบาลนายแพทย์หาญ","0","0","0.00"
"04007  :  โรงพยาบาลซับใหญ่","4","4","100.00"
"10702  :  โรงพยาบาลชัยภูมิ","0","0","0.00"
"10970  :  โรงพยาบาลบ้านเขว้า","8","8","100.00"
"10971  :  โรงพยาบาลคอนสวรรค์","6","6","100.00"
"10972  :  โรงพยาบาลเกษตรสมบูรณ์","7","7","100.00"
"10973  :  โรงพยาบาลหนองบัวแดง","14","14","100.00"
"10974  :  โรงพยาบาลจัตุรัส","6","6","100.00"
"10975  :  โรงพยาบาลบำเหน็จณรงค์","9","9","100.00"
"10976  :  โรงพยาบาลหนองบัวระเหว","6","6","100.00"
"10977  :  โรงพยาบาลเทพสถิต","10","10","100.00"
"10978  :  โรงพยาบาลภูเขียวเฉลิมพระเกียรติ","12","12","100.00"
"10979  :  โรงพยาบาลบ้านแท่น","10","10","100.00"
"10980  :  โรงพยาบาลแก้งคร้อ","8","8","100.00"
"10981  :  โรงพยาบาลคอนสาร","3","3","100.00"
"10982  :  โรงพยาบาลภักดีชุมพล","4","4","100.00"
"10983  :  โรงพยาบาลเนินสง่า","4","4","100.00"
"10703  :  โรงพยาบาลอำนาจเจริญ","0","0","0.00"
"10985  :  โรงพยาบาลชานุมาน","9","9","100.00"
"10986  :  โรงพยาบาลปทุมราชวงศา","12","12","100.00"
"10987  :  โรงพยาบาลพนา","9","9","100.00"
"10988  :  โรงพยาบาลเสนางคนิคม","8","8","100.00"
"10989  :  โรงพยาบาลหัวตะพาน","8","8","100.00"
"10990  :  โรงพยาบาลลืออำนาจ","8","8","100.00"
"11040  :  โรงพยาบาลบึงกาฬ","2","2","100.00"
"11041  :  โรงพยาบาลพรเจริญ","10","10","100.00"
"11043  :  โรงพยาบาลโซ่พิสัย","1","1","100.00"
"11046  :  โรงพยาบาลเซกา","2","2","100.00"
"11047  :  โรงพยาบาลปากคาด","11","11","100.00"
"11048  :  โรงพยาบาลบึงโขงหลง","0","0","0.00"
"11049  :  โรงพยาบาลศรีวิไล","11","11","100.00"
"11050  :  โรงพยาบาลบุ่งคล้า","2","2","100.00"
"10704  :  โรงพยาบาลหนองบัวลำภู","0","0","0.00"
"10991  :  โรงพยาบาลนากลาง","0","0","0.00"
"10992  :  โรงพยาบาลโนนสัง","0","0","0.00"
"10993  :  โรงพยาบาลศรีบุญเรือง","0","0","0.00"
"10994  :  โรงพยาบาลสุวรรณคูหา","0","0","0.00"
"23367  :  โรงพยาบาลนาวัง เฉลิมพระเกียรติ 80 พรรษา","0","0","0.00"
"10670  :  โรงพยาบาลขอนแก่น","0","0","0.00"
"10995  :  โรงพยาบาลบ้านฝาง","0","0","0.00"
"10996  :  โรงพยาบาลพระยืน","0","0","0.00"
"10997  :  โรงพยาบาลหนองเรือ","0","0","0.00"
"10998  :  โรงพยาบาลชุมแพ","1","1","100.00"
"10999  :  โรงพยาบาลสีชมพู","12","12","100.00"
"11000  :  โรงพยาบาลน้ำพอง","12","12","100.00"
"11001  :  โรงพยาบาลอุบลรัตน์","0","0","0.00"
"11002  :  โรงพยาบาลบ้านไผ่","0","0","0.00"
"11003  :  โรงพยาบาลเปือยน้อย","5","5","100.00"
"11004  :  โรงพยาบาลพล","0","0","0.00"
"11005  :  โรงพยาบาลแวงใหญ่","0","0","0.00"
"11006  :  โรงพยาบาลแวงน้อย","11","11","100.00"
"11007  :  โรงพยาบาลหนองสองห้อง","0","0","0.00"
"11008  :  โรงพยาบาลภูเวียง","0","0","0.00"
"11009  :  โรงพยาบาลมัญจาคีรี","15","15","100.00"
"11010  :  โรงพยาบาลชนบท","0","0","0.00"
"11011  :  โรงพยาบาลเขาสวนกวาง","0","0","0.00"
"11012  :  โรงพยาบาลภูผาม่าน","0","0","0.00"
"11445  :  โรงพยาบาลสมเด็จพระยุพราชกระนวน","15","15","100.00"
"11497  :  โรงพยาบาลค่ายศรีพัชรินทร","0","0","0.00"
"11936  :  โรงพยาบาลขอนแก่นราม","0","0","0.00"
"12272  :  โรงพยาบาลจิตเวชขอนแก่นราชนครินทร์","0","0","0.00"
"12273  :  โรงพยาบาลส่งเสริมสุขภาพ ศูนย์อนามัยที่ 7","0","0","0.00"
"12275  :  โรงพยาบาลสิรินธร(ภาคตะวันออกเฉียงเหนือ)","0","0","0.00"
"13777  :  โรงพยาบาลศรีนครินทร์ มหาวิทยาลัยขอนแก่น","1","1","100.00"
"14132  :  โรงพยาบาลซำสูง","0","0","0.00"
"14196  :  โรงพยาบาลธัญญรักษ์ขอนแก่น","0","0","0.00"
"24746  :  สถาบันสุขภาพจิตเด็กและวัยรุ่นภาคตะวันออกเฉียงเหนือ","0","0","0.00"
"77649  :  โรงพยาบาลหนองนาคำ","0","0","0.00"
"77650  :  โรงพยาบาลเวียงเก่า","0","0","0.00"
"77651  :  โรงพยาบาลโคกโพธิ์ไชย","13","13","100.00"
"77652  :  โรงพยาบาลโนนศิลา","0","0","0.00"
"10671  :  โรงพยาบาลอุดรธานี","0","0","0.00"
"11013  :  โรงพยาบาลกุดจับ","8","8","100.00"
"11014  :  โรงพยาบาลหนองวัวซอ","7","7","100.00"
"11015  :  โรงพยาบาลกุมภวาปี","12","12","100.00"
"11016  :  โรงพยาบาลห้วยเกิ้ง","0","0","0.00"
"11017  :  โรงพยาบาลโนนสะอาด","11","11","100.00"
"11018  :  โรงพยาบาลหนองหาน","15","15","100.00"
"11019  :  โรงพยาบาลทุ่งฝน","9","9","100.00"
"11020  :  โรงพยาบาลไชยวาน","11","11","100.00"
"11021  :  โรงพยาบาลศรีธาตุ","3","3","100.00"
"11022  :  โรงพยาบาลวังสามหมอ","11","11","100.00"
"11023  :  โรงพยาบาลบ้านผือ","12","12","100.00"
"11024  :  โรงพยาบาลน้ำโสม","11","11","100.00"
"11025  :  โรงพยาบาลเพ็ญ","15","15","100.00"
"11026  :  โรงพยาบาลสร้างคอม","12","12","100.00"
"11027  :  โรงพยาบาลหนองแสง","11","11","100.00"
"11028  :  โรงพยาบาลนายูง","9","9","100.00"
"11029  :  โรงพยาบาลพิบูลย์รักษ์","5","5","100.00"
"11446  :  โรงพยาบาลสมเด็จพระยุพราชบ้านดุง","10","10","100.00"
"11501  :  โรงพยาบาลค่ายประจักษ์ศิลปาคม","0","0","0.00"
"12276  :  โรงพยาบาลมะเร็งอุดรธานี","0","0","0.00"
"23951  :  โรงพยาบาลธัญญารักษ์อุดรธานี","0","0","0.00"
"25058  :  โรงพยาบาลกู่แก้ว","0","0","0.00"
"25059  :  โรงพยาบาลประจักษ์ศิลปาคม","0","0","0.00"
"10705  :  โรงพยาบาลเลย","18","18","100.00"
"11030  :  โรงพยาบาลนาด้วง","10","10","100.00"
"11031  :  โรงพยาบาลเชียงคาน","14","14","100.00"
"11032  :  โรงพยาบาลปากชม","9","9","100.00"
"11033  :  โรงพยาบาลนาแห้ว","6","6","100.00"
"11034  :  โรงพยาบาลภูเรือ","9","9","100.00"
"11035  :  โรงพยาบาลท่าลี่","8","8","100.00"
"11036  :  โรงพยาบาลวังสะพุง","10","10","100.00"
"11037  :  โรงพยาบาลภูกระดึง","17","17","100.00"
"11038  :  โรงพยาบาลภูหลวง","9","9","100.00"
"11039  :  โรงพยาบาลผาขาว","9","9","100.00"
"11447  :  โรงพยาบาลสมเด็จพระยุพราชด่านซ้าย","14","14","100.00"
"14133  :  โรงพยาบาลเอราวัณ","7","7","100.00"
"14644  :  โรงพยาบาลจิตเวชเลยราชนครินทร์","0","0","0.00"
"28861  :  โรงพยาบาลหนองหิน","2","2","100.00"
"10706  :  โรงพยาบาลหนองคาย","11","11","100.00"
"11042  :  โรงพยาบาลโพนพิสัย","9","9","100.00"
"11044  :  โรงพยาบาลศรีเชียงใหม่","16","16","100.00"
"11045  :  โรงพยาบาลสังคม","11","11","100.00"
"11448  :  โรงพยาบาลสมเด็จพระยุพราชท่าบ่อ","12","12","100.00"
"14558  :  โรงพยาบาลพิสัยเวช","10","10","100.00"
"21356  :  โรงพยาบาลสระใคร","1","1","100.00"
"28778  :  โรงพยาบาลโพธิ์ตาก","1","1","100.00"
"28811  :  โรงพยาบาลเฝ้าไร่","2","2","100.00"
"28815  :  โรงพยาบาลรัตนวาปี","1","1","100.00"
"10707  :  โรงพยาบาลมหาสารคาม","2","2","100.00"
"11051  :  โรงพยาบาลแกดำ","8","8","100.00"
"11052  :  โรงพยาบาลโกสุมพิสัย","16","16","100.00"
"11053  :  โรงพยาบาลกันทรวิชัย","14","14","100.00"
"11054  :  โรงพยาบาลเชียงยืน","17","17","100.00"
"11055  :  โรงพยาบาลบรบือ","22","22","100.00"
"11056  :  โรงพยาบาลนาเชือก","11","11","100.00"
"11057  :  โรงพยาบาลพยัคฆภูมิพิสัย","14","14","100.00"
"11058  :  โรงพยาบาลวาปีปทุม","12","12","100.00"
"11059  :  โรงพยาบาลนาดูน","5","5","100.00"
"11060  :  โรงพยาบาลยางสีสุราช","7","7","100.00"
"22953  :  โรงพยาบาลสุทธาเวช คณะแพทยศาสตร์ มหาวิทยาลัยมหาสารคาม","2","2","100.00"
"24704  :  โรงพยาบาลกุดรัง","5","5","100.00"
"28843  :  โรงพยาบาลชื่นชม","0","0","0.00"
"10708  :  โรงพยาบาลร้อยเอ็ด","1","1","100.00"
"11061  :  โรงพยาบาลเกษตรวิสัย","21","21","100.00"
"11062  :  โรงพยาบาลปทุมรัตต์","10","10","100.00"
"11063  :  โรงพยาบาลจตุรพักตรพิมาน","11","11","100.00"
"11064  :  โรงพยาบาลธวัชบุรี","11","11","100.00"
"11065  :  โรงพยาบาลพนมไพร","9","9","100.00"
"11066  :  โรงพยาบาลโพนทอง","10","10","100.00"
"11067  :  โรงพยาบาลโพธิ์ชัย","10","10","100.00"
"11068  :  โรงพยาบาลหนองพอก","19","19","100.00"
"11069  :  โรงพยาบาลเสลภูมิ","17","17","100.00"
"11070  :  โรงพยาบาลสุวรรณภูมิ","26","26","100.00"
"11071  :  โรงพยาบาลเมืองสรวง","9","9","100.00"
"11072  :  โรงพยาบาลโพนทราย","7","7","100.00"
"11073  :  โรงพยาบาลอาจสามารถ","11","11","100.00"
"11074  :  โรงพยาบาลเมยวดี","6","6","100.00"
"11075  :  โรงพยาบาลศรีสมเด็จ","10","10","100.00"
"11076  :  โรงพยาบาลจังหาร","9","9","100.00"
"11504  :  โรงพยาบาลค่ายสมเด็จพระพุทธยอดฟ้าจุฬาโลกมหาราช","2","2","100.00"
"11964  :  โรงพยาบาลทั่วไปขนาดใหญ่จุรีเวช","0","0","0.00"
"27988  :  โรงพยาบาลทุ่งเขาหลวง","4","4","100.00"
"27989  :  โรงพยาบาลเชียงขวัญ","8","8","100.00"
"27990  :  โรงพยาบาลหนองฮี","7","7","100.00"
"10709  :  โรงพยาบาลกาฬสินธุ์","7","7","100.00"
"11077  :  โรงพยาบาลนามน","13","13","100.00"
"11078  :  โรงพยาบาลกมลาไสย","14","14","100.00"
"11079  :  โรงพยาบาลร่องคำ","9","9","100.00"
"11080  :  โรงพยาบาลเขาวง","8","8","100.00"
"11081  :  โรงพยาบาลยางตลาด","16","16","100.00"
"11082  :  โรงพยาบาลห้วยเม็ก","0","0","0.00"
"11083  :  โรงพยาบาลสหัสขันธ์","6","6","100.00"
"11084  :  โรงพยาบาลคำม่วง","14","14","100.00"
"11085  :  โรงพยาบาลท่าคันโท","9","9","100.00"
"11086  :  โรงพยาบาลหนองกุงศรี","12","12","100.00"
"11087  :  โรงพยาบาลสมเด็จ","6","6","100.00"
"11088  :  โรงพยาบาลห้วยผึ้ง","11","11","100.00"
"11449  :  โรงพยาบาลสมเด็จพระยุพราชกุฉินารายณ์","18","18","100.00"
"11965  :  โรงพยาบาลธีรวัฒน์","0","0","0.00"
"28017  :  โรงพยาบาลนาคู","4","4","100.00"
"28789  :  โรงพยาบาลฆ้องชัย","7","7","100.00"
"28790  :  โรงพยาบาลดอนจาน","5","5","100.00"
"28791  :  โรงพยาบาลสามชัย","4","4","100.00"
"10710  :  โรงพยาบาลสกลนคร","0","0","0.00"
"11089  :  โรงพยาบาลกุสุมาลย์","14","14","100.00"
"11090  :  โรงพยาบาลกุดบาก","7","7","100.00"
"11091  :  โรงพยาบาลพระอาจารย์ฝั้นอาจาโร","9","9","100.00"
"11092  :  โรงพยาบาลพังโคน","12","12","100.00"
"11093  :  โรงพยาบาลวาริชภูมิ","16","16","100.00"
"11094  :  โรงพยาบาลนิคมน้ำอูน","7","7","100.00"
"11095  :  โรงพยาบาลวานรนิวาส","24","24","100.00"
"11096  :  โรงพยาบาลคำตากล้า","15","15","100.00"
"11097  :  โรงพยาบาลบ้านม่วง","11","11","100.00"
"11098  :  โรงพยาบาลอากาศอำนวย","12","12","100.00"
"11099  :  โรงพยาบาลส่องดาว","11","11","100.00"
"11100  :  โรงพยาบาลเต่างอย","7","7","100.00"
"11101  :  โรงพยาบาลโคกศรีสุพรรณ","14","14","100.00"
"11102  :  โรงพยาบาลเจริญศิลป์","12","12","100.00"
"11103  :  โรงพยาบาลโพนนาแก้ว","4","4","100.00"
"11450  :  โรงพยาบาลสมเด็จพระยุพราชสว่างแดนดิน","21","21","100.00"
"11505  :  โรงพยาบาลค่ายกฤษณ์สีวะรา","3","3","100.00"
"21323  :  โรงพยาบาลพระอาจารย์แบน  ธนากโร","5","5","100.00"
"24976  :  โรงพยาบาลการแพทย์แผนไทยสกลนคร หลวงปู่แฟ๊ป สุภัทโท","0","0","0.00"
"10711  :  โรงพยาบาลนครพนม","4","4","100.00"
"11104  :  โรงพยาบาลปลาปาก","24","24","100.00"
"11105  :  โรงพยาบาลท่าอุเทน","6","6","100.00"
"11106  :  โรงพยาบาลบ้านแพง","9","9","100.00"
"11107  :  โรงพยาบาลนาทม","5","5","100.00"
"11108  :  โรงพยาบาลเรณูนคร","9","9","100.00"
"11109  :  โรงพยาบาลนาแก","10","10","100.00"
"11110  :  โรงพยาบาลศรีสงคราม","12","12","100.00"
"11111  :  โรงพยาบาลนาหว้า","14","14","100.00"
"11112  :  โรงพยาบาลโพนสวรรค์","6","6","100.00"
"11451  :  โรงพยาบาลสมเด็จพระยุพราชธาตุพนม","1","1","100.00"
"12277  :  โรงพยาบาลจิตเวชนครพนมราชนครินทร์","0","0","0.00"
"40840  :  โรงพยาบาลวังยาง","6","6","100.00"
"10712  :  โรงพยาบาลมุกดาหาร","24","24","100.00"
"11113  :  โรงพยาบาลนิคมคำสร้อย","12","12","100.00"
"11114  :  โรงพยาบาลดอนตาล","7","7","100.00"
"11115  :  โรงพยาบาลดงหลวง","11","11","100.00"
"11116  :  โรงพยาบาลคำชะอี","8","8","100.00"
"11117  :  โรงพยาบาลหว้านใหญ่","7","7","100.00"
"11118  :  โรงพยาบาลหนองสูง","4","4","100.00"
"06009  :  โรงพยาบาลแม่ตื่น","5","5","100.00"
"10713  :  โรงพยาบาลนครพิงค์","35","35","100.00"
"11119  :  โรงพยาบาลจอมทอง","13","13","100.00"
"11120  :  โรงพยาบาลเทพรัตนเวชชานุกูล เฉลิมพระเกียรติ ๖๐ พรรษา","18","18","100.00"
"11121  :  โรงพยาบาลเชียงดาว","19","19","100.00"
"11122  :  โรงพยาบาลดอยสะเก็ด","6","6","100.00"
"11123  :  โรงพยาบาลแม่แตง","0","0","0.00"
"11124  :  โรงพยาบาลสะเมิง","13","13","100.00"
"11125  :  โรงพยาบาลฝาง","0","0","0.00"
"11126  :  โรงพยาบาลแม่อาย","7","7","100.00"
"11127  :  โรงพยาบาลพร้าว","0","0","0.00"
"11128  :  โรงพยาบาลสันป่าตอง","6","6","100.00"
"11129  :  โรงพยาบาลสันกำแพง","1","1","100.00"
"11130  :  โรงพยาบาลสันทราย","0","0","0.00"
"11131  :  โรงพยาบาลหางดง","0","0","0.00"
"11132  :  โรงพยาบาลฮอด","17","17","100.00"
"11133  :  โรงพยาบาลดอยเต่า","6","6","100.00"
"11134  :  โรงพยาบาลอมก๋อย","20","20","100.00"
"11135  :  โรงพยาบาลสารภี","1","1","100.00"
"11136  :  โรงพยาบาลเวียงแหง","14","14","100.00"
"11137  :  โรงพยาบาลไชยปราการ","5","5","100.00"
"11138  :  โรงพยาบาลแม่วาง","5","5","100.00"
"11139  :  โรงพยาบาลแม่ออน","1","1","100.00"
"11507  :  โรงพยาบาลกองบิน 41","0","0","0.00"
"11508  :  โรงพยาบาลค่ายกาวิละ เชียงใหม่","0","0","0.00"
"11643  :  โรงพยาบาลดอยหล่อ","0","0","0.00"
"11978  :  โรงพยาบาลดารารัศมี","0","0","0.00"
"11992  :  โรงพยาบาลเทพปัญญา 2 โรงพยาบาลทั่วไปขนาดกลาง","0","0","0.00"
"11995  :  โรงพยาบาลทั่วไปขนาดใหญ่เซ็นทรัลเชียงใหม่ เมโมเรียล","4","4","100.00"
"11999  :  โรงพยาบาลทั่วไปขนาดใหญ่เชียงใหม่เมดิคอลเซ็นเตอร์","3","3","100.00"
"12279  :  โรงพยาบาลส่งเสริมสุขภาพ ศูนย์อนามัยที่ 1","0","0","0.00"
"12280  :  โรงพยาบาลสวนปรุง","0","0","0.00"
"12281  :  โรงพยาบาลประสาทเชียงใหม่","0","0","0.00"
"13775  :  สถาบันพัฒนาการเด็กราชนครินทร์","0","0","0.00"
"13780  :  โรงพยาบาลมหาราชนครเชียงใหม่  มหาวิทยาลัยเชียงใหม่","0","0","0.00"
"13785  :  โรงพยาบาลธัญญารักษ์เชียงใหม่","0","0","0.00"
"14550  :  โรงพยาบาลทั่วไปขนาดใหญ่ เชียงใหม่ใกล้หมอ","5","5","100.00"
"14916  :  โรงพยาบาลทั่วไปขนาดกลางเชียงใหม่ฮอสพิทอล","3","3","100.00"
"23736  :  โรงพยาบาลวัดจันทร์ เฉลิมพระเกียรติ 80 พรรษา","5","5","100.00"
"10714  :  โรงพยาบาลลำพูน","5","5","100.00"
"11140  :  โรงพยาบาลแม่ทา","9","9","100.00"
"11141  :  โรงพยาบาลบ้านโฮ่ง","12","12","100.00"
"11142  :  โรงพยาบาลลี้","1","1","100.00"
"11143  :  โรงพยาบาลทุ่งหัวช้าง","10","10","100.00"
"11144  :  โรงพยาบาลป่าซาง","7","7","100.00"
"11145  :  โรงพยาบาลบ้านธิ","10","10","100.00"
"12000  :  โรงพยาบาลหริภุญชัยเมโมเรียล","0","0","0.00"
"14555  :  โรงพยาบาลทั่วไปขนาดกลางศิริเวช ลำพูน","0","0","0.00"
"24956  :  โรงพยาบาลเวียงหนองล่อง","4","4","100.00"
"10672  :  โรงพยาบาลลำปาง","3","3","100.00"
"11146  :  โรงพยาบาลแม่เมาะ","6","6","100.00"
"11147  :  โรงพยาบาลเกาะคา","4","4","100.00"
"11148  :  โรงพยาบาลเสริมงาม","8","8","100.00"
"11149  :  โรงพยาบาลงาว","7","7","100.00"
"11150  :  โรงพยาบาลแจ้ห่ม","7","7","100.00"
"11151  :  โรงพยาบาลวังเหนือ","9","9","100.00"
"11152  :  โรงพยาบาลเถิน","5","5","100.00"
"11153  :  โรงพยาบาลแม่พริก","9","9","100.00"
"11154  :  โรงพยาบาลแม่ทะ","9","9","100.00"
"11155  :  โรงพยาบาลสบปราบ","7","7","100.00"
"11156  :  โรงพยาบาลห้างฉัตร","7","7","100.00"
"11157  :  โรงพยาบาลเมืองปาน","9","9","100.00"
"11512  :  โรงพยาบาลค่ายสุรศักดิ์มนตรี","0","0","0.00"
"12283  :  โรงพยาบาลมะเร็งลำปาง","0","0","0.00"
"10673  :  โรงพยาบาลอุตรดิตถ์","8","8","100.00"
"11158  :  โรงพยาบาลตรอน","11","11","100.00"
"11159  :  โรงพยาบาลท่าปลา","7","7","100.00"
"11160  :  โรงพยาบาลน้ำปาด","6","6","100.00"
"11161  :  โรงพยาบาลฟากท่า","11","11","100.00"
"11162  :  โรงพยาบาลบ้านโคก","8","8","100.00"
"11163  :  โรงพยาบาลพิชัย","12","12","100.00"
"11164  :  โรงพยาบาลลับแล","7","7","100.00"
"11165  :  โรงพยาบาลทองแสนขัน","7","7","100.00"
"11509  :  โรงพยาบาลค่ายพิชัยดาบหัก","0","0","0.00"
"10715  :  โรงพยาบาลแพร่","0","0","0.00"
"11166  :  โรงพยาบาลร้องกวาง","10","10","100.00"
"11167  :  โรงพยาบาลลอง","12","12","100.00"
"11169  :  โรงพยาบาลสูงเม่น","0","0","0.00"
"11170  :  โรงพยาบาลสอง","13","13","100.00"
"11171  :  โรงพยาบาลวังชิ้น","9","9","100.00"
"11172  :  โรงพยาบาลหนองม่วงไข่","3","3","100.00"
"11452  :  โรงพยาบาลสมเด็จพระยุพราชเด่นชัย","13","13","100.00"
"10716  :  โรงพยาบาลน่าน","12","12","100.00"
"11173  :  โรงพยาบาลแม่จริม","6","6","100.00"
"11174  :  โรงพยาบาลบ้านหลวง","3","3","100.00"
"11175  :  โรงพยาบาลนาน้อย","8","8","100.00"
"11176  :  โรงพยาบาลท่าวังผา","9","9","100.00"
"11177  :  โรงพยาบาลเวียงสา","13","13","100.00"
"11178  :  โรงพยาบาลทุ่งช้าง","6","6","100.00"
"11179  :  โรงพยาบาลเชียงกลาง","9","9","100.00"
"11180  :  โรงพยาบาลนาหมื่น","6","6","100.00"
"11181  :  โรงพยาบาลสันติสุข","7","7","100.00"
"11182  :  โรงพยาบาลบ่อเกลือ","8","8","100.00"
"11183  :  โรงพยาบาลสองแคว","5","5","100.00"
"11453  :  โรงพยาบาลสมเด็จพระยุพราชปัว","6","6","100.00"
"11510  :  โรงพยาบาลค่ายสุริยพงษ์","0","0","0.00"
"11625  :  โรงพยาบาลเฉลิมพระเกียรติ","3","3","100.00"
"25017  :  โรงพยาบาลภูเพียง","3","3","100.00"
"10717  :  โรงพยาบาลพะเยา","0","0","0.00"
"10718  :  โรงพยาบาลเชียงคำ","0","0","0.00"
"11184  :  โรงพยาบาลจุน","10","10","100.00"
"11185  :  โรงพยาบาลเชียงม่วน","0","0","0.00"
"11186  :  โรงพยาบาลดอกคำใต้","9","9","100.00"
"11187  :  โรงพยาบาลปง","10","10","100.00"
"11188  :  โรงพยาบาลแม่ใจ","0","0","0.00"
"15140  :  โรงพยาบาลค่ายขุนเจืองธรรมิกราช","0","0","0.00"
"40744  :  โรงพยาบาลภูซาง","0","0","0.00"
"40745  :  โรงพยาบาลภูกามยาว","0","0","0.00"
"41347  :  โรงพยาบาลมหาวิทยาลัยพะเยา","0","0","0.00"
"10674  :  โรงพยาบาลเชียงรายประชานุเคราะห์","17","17","100.00"
"11189  :  โรงพยาบาลเทิง","15","15","100.00"
"11190  :  โรงพยาบาลพาน","0","0","0.00"
"11191  :  โรงพยาบาลป่าแดด","6","6","100.00"
"11192  :  โรงพยาบาลแม่จัน","0","0","0.00"
"11193  :  โรงพยาบาลเชียงแสน","5","5","100.00"
"11194  :  โรงพยาบาลแม่สาย","12","12","100.00"
"11195  :  โรงพยาบาลแม่สรวย","8","8","100.00"
"11196  :  โรงพยาบาลเวียงป่าเป้า","10","10","100.00"
"11197  :  โรงพยาบาลพญาเม็งราย","4","4","100.00"
"11198  :  โรงพยาบาลเวียงแก่น","14","14","100.00"
"11199  :  โรงพยาบาลขุนตาล","3","3","100.00"
"11200  :  โรงพยาบาลแม่ฟ้าหลวง","5","5","100.00"
"11201  :  โรงพยาบาลแม่ลาว","2","2","100.00"
"11202  :  โรงพยาบาลเวียงเชียงรุ้ง","6","6","100.00"
"11454  :  โรงพยาบาลสมเด็จพระยุพราชเชียงของ","18","18","100.00"
"15012  :  โรงพยาบาลสมเด็จพระญาณสังวร","1","1","100.00"
"23429  :  โรงพยาบาลมหาวิทยาลัยแม่ฟ้าหลวง","0","0","0.00"
"28823  :  โรงพยาบาลดอยหลวง","1","1","100.00"
"41509  :  โรงพยาบาลศูนย์การแพทย์มหาวิทยาลัยแม่ฟ้าหลวง","0","0","0.00"
"10719  :  โรงพยาบาลศรีสังวาลย์","11","11","100.00"
"11203  :  โรงพยาบาลขุนยวม","9","9","100.00"
"11204  :  โรงพยาบาลปาย","9","9","100.00"
"11205  :  โรงพยาบาลแม่สะเรียง","12","12","100.00"
"11206  :  โรงพยาบาลแม่ลาน้อย","14","14","100.00"
"11207  :  โรงพยาบาลสบเมย","10","10","100.00"
"11208  :  โรงพยาบาลปางมะผ้า","9","9","100.00"
"14197  :  โรงพยาบาลธัญญรักษ์แม่ฮ่องสอน","0","0","0.00"
"10675  :  โรงพยาบาลสวรรค์ประชารักษ์","20","20","100.00"
"11209  :  โรงพยาบาลโกรกพระ","4","4","100.00"
"11210  :  โรงพยาบาลชุมแสง","5","5","100.00"
"11211  :  โรงพยาบาลหนองบัว","6","6","100.00"
"11212  :  โรงพยาบาลบรรพตพิสัย","3","3","100.00"
"11213  :  โรงพยาบาลเก้าเลี้ยว","6","6","100.00"
"11214  :  โรงพยาบาลตาคลี","15","15","100.00"
"11215  :  โรงพยาบาลท่าตะโก","8","8","100.00"
"11216  :  โรงพยาบาลไพศาลี","8","8","100.00"
"11217  :  โรงพยาบาลพยุหะคีรี","7","7","100.00"
"11218  :  โรงพยาบาลลาดยาว","7","7","100.00"
"11219  :  โรงพยาบาลตากฟ้า","11","11","100.00"
"11220  :  โรงพยาบาลแม่วงก์","6","6","100.00"
"11513  :  โรงพยาบาลค่ายจิรประวัติ","1","1","100.00"
