"รหัส","ชื่อโรงพยาบาล","อายุ(ปี)","ระดับการศึกษา","รวม"
"10965","โรงพยาบาลคำเขื่อนแก้ว จ.ยโสธร","-","-","0"
"10966","โรงพยาบาลป่าติ้ว จ.ยโสธร","-","-","0"
"10967","โรงพยาบาลมหาชนะชัย จ.ยโสธร","-","-","0"
"10968","โรงพยาบาลค้อวัง จ.ยโสธร","-","-","0"
"10969","โรงพยาบาลไทยเจริญ จ.ยโสธร","14","ประถมศึกษา","1"
"10970","โรงพยาบาลบ้านเขว้า จ.ชัยภูมิ","-","-","0"
"10971","โรงพยาบาลคอนสวรรค์ จ.ชัยภูมิ","-","-","0"
"10972","โรงพยาบาลเกษตรสมบูรณ์ จ.ชัยภูมิ","-","-","0"
"10973","โรงพยาบาลหนองบัวแดง จ.ชัยภูมิ","13","ก่อนประถมศึกษา","1"
"10974","โรงพยาบาลจัตุรัส จ.ชัยภูมิ","-","-","0"
"10975","โรงพยาบาลบำเหน็จณรงค์ จ.ชัยภูมิ","-","-","0"
"10976","โรงพยาบาลหนองบัวระเหว จ.ชัยภูมิ","-","-","0"
"10977","โรงพยาบาลเทพสถิต จ.ชัยภูมิ","-","-","0"
"10978","โรงพยาบาลภูเขียวเฉลิมพระเกียรติ จ.ชัยภูมิ","-","-","0"
"10979","โรงพยาบาลบ้านแท่น จ.ชัยภูมิ","-","-","0"
"10980","โรงพยาบาลแก้งคร้อ จ.ชัยภูมิ","-","-","0"
"10981","โรงพยาบาลคอนสาร จ.ชัยภูมิ","-","-","0"
"10982","โรงพยาบาลภักดีชุมพล จ.ชัยภูมิ","-","-","0"
"10983","โรงพยาบาลเนินสง่า จ.ชัยภูมิ","-","-","0"
"10985","โรงพยาบาลชานุมาน จ.อำนาจเจริญ","11","ประถมศึกษา","1"
"10986","โรงพยาบาลปทุมราชวงศา จ.อำนาจเจริญ","-","-","0"
"10987","โรงพยาบาลพนา จ.อำนาจเจริญ","-","-","0"
"10988","โรงพยาบาลเสนางคนิคม จ.อำนาจเจริญ","-","-","0"
"10989","โรงพยาบาลหัวตะพาน จ.อำนาจเจริญ","-","-","0"
"10990","โรงพยาบาลลืออำนาจ จ.อำนาจเจริญ","14","ก่อนประถมศึกษา","1"
"10991","โรงพยาบาลนากลาง จ.หนองบัวลำภู","-","-","0"
"10992","โรงพยาบาลโนนสัง จ.หนองบัวลำภู","-","-","0"
"10993","โรงพยาบาลศรีบุญเรือง จ.หนองบัวลำภู","-","-","0"
"10994","โรงพยาบาลสุวรรณคูหา จ.หนองบัวลำภู","-","-","0"
"10995","โรงพยาบาลบ้านฝาง จ.ขอนแก่น","-","-","0"
"10996","โรงพยาบาลพระยืน จ.ขอนแก่น","-","-","0"
"10997","โรงพยาบาลหนองเรือ จ.ขอนแก่น","-","-","0"
"10998","โรงพยาบาลชุมแพ จ.ขอนแก่น","-","-","0"
"10999","โรงพยาบาลสีชมพู จ.ขอนแก่น","-","-","0"
"11000","โรงพยาบาลน้ำพอง จ.ขอนแก่น","-","-","0"
"11001","โรงพยาบาลอุบลรัตน์ จ.ขอนแก่น","-","-","0"
"11002","โรงพยาบาลบ้านไผ่ จ.ขอนแก่น","-","-","0"
"11003","โรงพยาบาลเปือยน้อย จ.ขอนแก่น","-","-","0"
"11004","โรงพยาบาลพล จ.ขอนแก่น","14","ไม่ระบุ/ไม่ทราบ","1"
"11005","โรงพยาบาลแวงใหญ่ จ.ขอนแก่น","-","-","0"
"11006","โรงพยาบาลแวงน้อย จ.ขอนแก่น","-","-","0"
"11007","โรงพยาบาลหนองสองห้อง จ.ขอนแก่น","-","-","0"
"11008","โรงพยาบาลภูเวียง จ.ขอนแก่น","-","-","0"
"11009","โรงพยาบาลมัญจาคีรี จ.ขอนแก่น","-","-","0"
"11010","โรงพยาบาลชนบท จ.ขอนแก่น","-","-","0"
"11011","โรงพยาบาลเขาสวนกวาง จ.ขอนแก่น","-","-","0"
"11012","โรงพยาบาลภูผาม่าน จ.ขอนแก่น","-","-","0"
"11013","โรงพยาบาลกุดจับ จ.อุดรธานี","-","-","0"
"11014","โรงพยาบาลหนองวัวซอ จ.อุดรธานี","-","-","0"
"11015","โรงพยาบาลกุมภวาปี จ.อุดรธานี","12","มัธยมศึกษา (ม.1-ม.6) หรือ ปวช.","1"
"11015","โรงพยาบาลกุมภวาปี จ.อุดรธานี","14","ประถมศึกษา","2"
"11016","โรงพยาบาลห้วยเกิ้ง จ.อุดรธานี","-","-","0"
"11017","โรงพยาบาลโนนสะอาด จ.อุดรธานี","-","-","0"
"11018","โรงพยาบาลหนองหาน จ.อุดรธานี","14","ประถมศึกษา","1"
"11019","โรงพยาบาลทุ่งฝน จ.อุดรธานี","-","-","0"
"11020","โรงพยาบาลไชยวาน จ.อุดรธานี","14","ประถมศึกษา","1"
"11021","โรงพยาบาลศรีธาตุ จ.อุดรธานี","-","-","0"
"11022","โรงพยาบาลวังสามหมอ จ.อุดรธานี","14","ประถมศึกษา","1"
"11023","โรงพยาบาลบ้านผือ จ.อุดรธานี","-","-","0"
"11024","โรงพยาบาลน้ำโสม จ.อุดรธานี","14","ประถมศึกษา","1"
"11024","โรงพยาบาลน้ำโสม จ.อุดรธานี","14","ไม่ระบุ/ไม่ทราบ","1"
"11025","โรงพยาบาลเพ็ญ จ.อุดรธานี","-","-","0"
"11026","โรงพยาบาลสร้างคอม จ.อุดรธานี","-","-","0"
"11027","โรงพยาบาลหนองแสง จ.อุดรธานี","-","-","0"
"11028","โรงพยาบาลนายูง จ.อุดรธานี","-","-","0"
"11029","โรงพยาบาลพิบูลย์รักษ์ จ.อุดรธานี","-","-","0"
"11030","โรงพยาบาลนาด้วง จ.เลย","-","-","0"
"11031","โรงพยาบาลเชียงคาน จ.เลย","-","-","0"
"11032","โรงพยาบาลปากชม จ.เลย","-","-","0"
"11033","โรงพยาบาลนาแห้ว จ.เลย","-","-","0"
"11034","โรงพยาบาลภูเรือ จ.เลย","-","-","0"
"11035","โรงพยาบาลท่าลี่ จ.เลย","-","-","0"
"11036","โรงพยาบาลวังสะพุง จ.เลย","-","-","0"
"11037","โรงพยาบาลภูกระดึง จ.เลย","-","-","0"
"11038","โรงพยาบาลภูหลวง จ.เลย","-","-","0"
"11039","โรงพยาบาลผาขาว จ.เลย","14","ประถมศึกษา","1"
"11040","โรงพยาบาลบึงกาฬ จ.บึงกาฬ","-","-","0"
"11041","โรงพยาบาลพรเจริญ จ.บึงกาฬ","-","-","0"
"11042","โรงพยาบาลโพนพิสัย จ.หนองคาย","-","-","0"
"11043","โรงพยาบาลโซ่พิสัย จ.บึงกาฬ","-","-","0"
"11044","โรงพยาบาลศรีเชียงใหม่ จ.หนองคาย","-","-","0"
"11045","โรงพยาบาลสังคม จ.หนองคาย","-","-","0"
"11046","โรงพยาบาลเซกา จ.บึงกาฬ","-","-","0"
"11047","โรงพยาบาลปากคาด จ.บึงกาฬ","14","ประถมศึกษา","1"
"11048","โรงพยาบาลบึงโขงหลง จ.บึงกาฬ","-","-","0"
"11049","โรงพยาบาลศรีวิไล จ.บึงกาฬ","-","-","0"
"11050","โรงพยาบาลบุ่งคล้า จ.บึงกาฬ","-","-","0"
"11051","โรงพยาบาลแกดำ จ.มหาสารคาม","-","-","0"
"11052","โรงพยาบาลโกสุมพิสัย จ.มหาสารคาม","-","-","0"
"11053","โรงพยาบาลกันทรวิชัย จ.มหาสารคาม","-","-","0"
"11054","โรงพยาบาลเชียงยืน จ.มหาสารคาม","-","-","0"
"11055","โรงพยาบาลบรบือ จ.มหาสารคาม","-","-","0"
"11056","โรงพยาบาลนาเชือก จ.มหาสารคาม","-","-","0"
"11057","โรงพยาบาลพยัคฆภูมิพิสัย จ.มหาสารคาม","-","-","0"
"11058","โรงพยาบาลวาปีปทุม จ.มหาสารคาม","-","-","0"
"11059","โรงพยาบาลนาดูน จ.มหาสารคาม","-","-","0"
"11060","โรงพยาบาลยางสีสุราช จ.มหาสารคาม","-","-","0"
"11061","โรงพยาบาลเกษตรวิสัย จ.ร้อยเอ็ด","-","-","0"
"11062","โรงพยาบาลปทุมรัตต์ จ.ร้อยเอ็ด","-","-","0"
"11063","โรงพยาบาลจตุรพักตรพิมาน จ.ร้อยเอ็ด","-","-","0"
"11064","โรงพยาบาลธวัชบุรี จ.ร้อยเอ็ด","-","-","0"
"11065","โรงพยาบาลพนมไพร จ.ร้อยเอ็ด","-","-","0"
"11066","โรงพยาบาลโพนทอง จ.ร้อยเอ็ด","14","ประถมศึกษา","1"
"11067","โรงพยาบาลโพธิ์ชัย จ.ร้อยเอ็ด","-","-","0"
"11068","โรงพยาบาลหนองพอก จ.ร้อยเอ็ด","-","-","0"
"11069","โรงพยาบาลเสลภูมิ จ.ร้อยเอ็ด","-","-","0"
"11070","โรงพยาบาลสุวรรณภูมิ จ.ร้อยเอ็ด","-","-","0"
"11071","โรงพยาบาลเมืองสรวง จ.ร้อยเอ็ด","-","-","0"
"11072","โรงพยาบาลโพนทราย จ.ร้อยเอ็ด","-","-","0"
"11073","โรงพยาบาลอาจสามารถ จ.ร้อยเอ็ด","-","-","0"
"11074","โรงพยาบาลเมยวดี จ.ร้อยเอ็ด","-","-","0"
"11075","โรงพยาบาลศรีสมเด็จ จ.ร้อยเอ็ด","-","-","0"
"11076","โรงพยาบาลจังหาร จ.ร้อยเอ็ด","-","-","0"
"11077","โรงพยาบาลนามน จ.กาฬสินธุ์","-","-","0"
"11078","โรงพยาบาลกมลาไสย จ.กาฬสินธุ์","-","-","0"
"11079","โรงพยาบาลร่องคำ จ.กาฬสินธุ์","-","-","0"
"11080","โรงพยาบาลเขาวง จ.กาฬสินธุ์","-","-","0"
"11081","โรงพยาบาลยางตลาด จ.กาฬสินธุ์","-","-","0"
"11082","โรงพยาบาลห้วยเม็ก จ.กาฬสินธุ์","-","-","0"
"11083","โรงพยาบาลสหัสขันธ์ จ.กาฬสินธุ์","-","-","0"
"11084","โรงพยาบาลคำม่วง จ.กาฬสินธุ์","-","-","0"
"11085","โรงพยาบาลท่าคันโท จ.กาฬสินธุ์","14","ประถมศึกษา","1"
"11086","โรงพยาบาลหนองกุงศรี จ.กาฬสินธุ์","-","-","0"
"11087","โรงพยาบาลสมเด็จ จ.กาฬสินธุ์","-","-","0"
"11088","โรงพยาบาลห้วยผึ้ง จ.กาฬสินธุ์","-","-","0"
"11089","โรงพยาบาลกุสุมาลย์ จ.สกลนคร","-","-","0"
"11090","โรงพยาบาลกุดบาก จ.สกลนคร","-","-","0"
"11091","โรงพยาบาลพระอาจารย์ฝั้นอาจาโร จ.สกลนคร","-","-","0"
"11092","โรงพยาบาลพังโคน จ.สกลนคร","-","-","0"
"11093","โรงพยาบาลวาริชภูมิ จ.สกลนคร","-","-","0"
"11094","โรงพยาบาลนิคมน้ำอูน จ.สกลนคร","-","-","0"
"11095","โรงพยาบาลวานรนิวาส จ.สกลนคร","13","ประถมศึกษา","1"
"11096","โรงพยาบาลคำตากล้า จ.สกลนคร","-","-","0"
"11097","โรงพยาบาลบ้านม่วง จ.สกลนคร","-","-","0"
"11098","โรงพยาบาลอากาศอำนวย จ.สกลนคร","-","-","0"
"11099","โรงพยาบาลส่องดาว จ.สกลนคร","-","-","0"
"11100","โรงพยาบาลเต่างอย จ.สกลนคร","-","-","0"
"11101","โรงพยาบาลโคกศรีสุพรรณ จ.สกลนคร","-","-","0"
"11102","โรงพยาบาลเจริญศิลป์ จ.สกลนคร","-","-","0"
"11103","โรงพยาบาลโพนนาแก้ว จ.สกลนคร","-","-","0"
"11104","โรงพยาบาลปลาปาก จ.นครพนม","-","-","0"
"11105","โรงพยาบาลท่าอุเทน จ.นครพนม","-","-","0"
"11106","โรงพยาบาลบ้านแพง จ.นครพนม","-","-","0"
"11107","โรงพยาบาลนาทม จ.นครพนม","-","-","0"
"11108","โรงพยาบาลเรณูนคร จ.นครพนม","-","-","0"
"11109","โรงพยาบาลนาแก จ.นครพนม","-","-","0"
"11110","โรงพยาบาลศรีสงคราม จ.นครพนม","-","-","0"
"11111","โรงพยาบาลนาหว้า จ.นครพนม","-","-","0"
"11112","โรงพยาบาลโพนสวรรค์ จ.นครพนม","-","-","0"
"11113","โรงพยาบาลนิคมคำสร้อย จ.มุกดาหาร","-","-","0"
"11114","โรงพยาบาลดอนตาล จ.มุกดาหาร","-","-","0"
"11115","โรงพยาบาลดงหลวง จ.มุกดาหาร","-","-","0"
"11116","โรงพยาบาลคำชะอี จ.มุกดาหาร","-","-","0"
"11117","โรงพยาบาลหว้านใหญ่ จ.มุกดาหาร","-","-","0"
"11118","โรงพยาบาลหนองสูง จ.มุกดาหาร","-","-","0"
"11119","โรงพยาบาลจอมทอง จ.เชียงใหม่","-","-","0"
"11120","โรงพยาบาลเทพรัตนเวชชานุกูล เฉลิมพระเกียรติ ๖๐ พรรษา จ.เชียงใหม่","-","-","0"
"11121","โรงพยาบาลเชียงดาว จ.เชียงใหม่","-","-","0"
"11122","โรงพยาบาลดอยสะเก็ด จ.เชียงใหม่","-","-","0"
"11123","โรงพยาบาลแม่แตง จ.เชียงใหม่","-","-","0"
"11124","โรงพยาบาลสะเมิง จ.เชียงใหม่","-","-","0"
"11125","โรงพยาบาลฝาง จ.เชียงใหม่","-","-","0"
"11126","โรงพยาบาลแม่อาย จ.เชียงใหม่","-","-","0"
"11127","โรงพยาบาลพร้าว จ.เชียงใหม่","-","-","0"
"11128","โรงพยาบาลสันป่าตอง จ.เชียงใหม่","-","-","0"
"11129","โรงพยาบาลสันกำแพง จ.เชียงใหม่","-","-","0"
"11130","โรงพยาบาลสันทราย จ.เชียงใหม่","-","-","0"
"11131","โรงพยาบาลหางดง จ.เชียงใหม่","-","-","0"
"11132","โรงพยาบาลฮอด จ.เชียงใหม่","-","-","0"
"11133","โรงพยาบาลดอยเต่า จ.เชียงใหม่","-","-","0"
"11134","โรงพยาบาลอมก๋อย จ.เชียงใหม่","-","-","0"
"11135","โรงพยาบาลสารภี จ.เชียงใหม่","-","-","0"
"11136","โรงพยาบาลเวียงแหง จ.เชียงใหม่","-","-","0"
"11137","โรงพยาบาลไชยปราการ จ.เชียงใหม่","-","-","0"
"11138","โรงพยาบาลแม่วาง จ.เชียงใหม่","-","-","0"
"11139","โรงพยาบาลแม่ออน จ.เชียงใหม่","-","-","0"
"11140","โรงพยาบาลแม่ทา จ.ลำพูน","14","ไม่ได้รับการศึกษา","1"
"11141","โรงพยาบาลบ้านโฮ่ง จ.ลำพูน","-","-","0"
"11142","โรงพยาบาลลี้ จ.ลำพูน","-","-","0"
"11143","โรงพยาบาลทุ่งหัวช้าง จ.ลำพูน","-","-","0"
"11144","โรงพยาบาลป่าซาง จ.ลำพูน","-","-","0"
"11145","โรงพยาบาลบ้านธิ จ.ลำพูน","-","-","0"
"11146","โรงพยาบาลแม่เมาะ จ.ลำปาง","-","-","0"
"11147","โรงพยาบาลเกาะคา จ.ลำปาง","-","-","0"
"11148","โรงพยาบาลเสริมงาม จ.ลำปาง","-","-","0"
"11149","โรงพยาบาลงาว จ.ลำปาง","-","-","0"
"11150","โรงพยาบาลแจ้ห่ม จ.ลำปาง","-","-","0"
"11151","โรงพยาบาลวังเหนือ จ.ลำปาง","-","-","0"
"11152","โรงพยาบาลเถิน จ.ลำปาง","-","-","0"
"11153","โรงพยาบาลแม่พริก จ.ลำปาง","-","-","0"
"11154","โรงพยาบาลแม่ทะ จ.ลำปาง","-","-","0"
"11155","โรงพยาบาลสบปราบ จ.ลำปาง","-","-","0"
"11156","โรงพยาบาลห้างฉัตร จ.ลำปาง","-","-","0"
"11157","โรงพยาบาลเมืองปาน จ.ลำปาง","-","-","0"
"11158","โรงพยาบาลตรอน จ.อุตรดิตถ์","-","-","0"
"11159","โรงพยาบาลท่าปลา จ.อุตรดิตถ์","-","-","0"
"11160","โรงพยาบาลน้ำปาด จ.อุตรดิตถ์","-","-","0"
"11161","โรงพยาบาลฟากท่า จ.อุตรดิตถ์","-","-","0"
"11162","โรงพยาบาลบ้านโคก จ.อุตรดิตถ์","-","-","0"
"11163","โรงพยาบาลพิชัย จ.อุตรดิตถ์","-","-","0"
"11164","โรงพยาบาลลับแล จ.อุตรดิตถ์","-","-","0"
"11165","โรงพยาบาลทองแสนขัน จ.อุตรดิตถ์","-","-","0"
"11166","โรงพยาบาลร้องกวาง จ.แพร่","13","ไม่ได้รับการศึกษา","1"
"11167","โรงพยาบาลลอง จ.แพร่","-","-","0"
"11169","โรงพยาบาลสูงเม่น จ.แพร่","-","-","0"
"11170","โรงพยาบาลสอง จ.แพร่","-","-","0"
"11171","โรงพยาบาลวังชิ้น จ.แพร่","-","-","0"
"11172","โรงพยาบาลหนองม่วงไข่ จ.แพร่","-","-","0"
"11173","โรงพยาบาลแม่จริม จ.น่าน","-","-","0"
"11174","โรงพยาบาลบ้านหลวง จ.น่าน","-","-","0"
"11175","โรงพยาบาลนาน้อย จ.น่าน","-","-","0"
"11176","โรงพยาบาลท่าวังผา จ.น่าน","-","-","0"
"11177","โรงพยาบาลเวียงสา จ.น่าน","-","-","0"
"11178","โรงพยาบาลทุ่งช้าง จ.น่าน","-","-","0"
"11179","โรงพยาบาลเชียงกลาง จ.น่าน","-","-","0"
"11180","โรงพยาบาลนาหมื่น จ.น่าน","-","-","0"
"11181","โรงพยาบาลสันติสุข จ.น่าน","-","-","0"
"11182","โรงพยาบาลบ่อเกลือ จ.น่าน","-","-","0"
"11183","โรงพยาบาลสองแคว จ.น่าน","-","-","0"
"11184","โรงพยาบาลจุน จ.พะเยา","-","-","0"
"11185","โรงพยาบาลเชียงม่วน จ.พะเยา","-","-","0"
"11186","โรงพยาบาลดอกคำใต้ จ.พะเยา","-","-","0"
"11187","โรงพยาบาลปง จ.พะเยา","14","ไม่ได้รับการศึกษา","1"
"11188","โรงพยาบาลแม่ใจ จ.พะเยา","-","-","0"
"11189","โรงพยาบาลเทิง จ.เชียงราย","-","-","0"
"11190","โรงพยาบาลพาน จ.เชียงราย","-","-","0"
"11191","โรงพยาบาลป่าแดด จ.เชียงราย","-","-","0"
"11192","โรงพยาบาลแม่จัน จ.เชียงราย","-","-","0"
"11193","โรงพยาบาลเชียงแสน จ.เชียงราย","-","-","0"
"11194","โรงพยาบาลแม่สาย จ.เชียงราย","-","-","0"
"11195","โรงพยาบาลแม่สรวย จ.เชียงราย","-","-","0"
"11196","โรงพยาบาลเวียงป่าเป้า จ.เชียงราย","-","-","0"
"11197","โรงพยาบาลพญาเม็งราย จ.เชียงราย","-","-","0"
"11198","โรงพยาบาลเวียงแก่น จ.เชียงราย","-","-","0"
"11199","โรงพยาบาลขุนตาล จ.เชียงราย","-","-","0"
"11200","โรงพยาบาลแม่ฟ้าหลวง จ.เชียงราย","-","-","0"
"11201","โรงพยาบาลแม่ลาว จ.เชียงราย","-","-","0"
"11202","โรงพยาบาลเวียงเชียงรุ้ง จ.เชียงราย","13","ประถมศึกษา","1"
"11202","โรงพยาบาลเวียงเชียงรุ้ง จ.เชียงราย","14","ประถมศึกษา","1"
"11203","โรงพยาบาลขุนยวม จ.แม่ฮ่องสอน","-","-","0"
"11204","โรงพยาบาลปาย จ.แม่ฮ่องสอน","-","-","0"
"11205","โรงพยาบาลแม่สะเรียง จ.แม่ฮ่องสอน","-","-","0"
"11206","โรงพยาบาลแม่ลาน้อย จ.แม่ฮ่องสอน","-","-","0"
"11207","โรงพยาบาลสบเมย จ.แม่ฮ่องสอน","-","-","0"
"11208","โรงพยาบาลปางมะผ้า จ.แม่ฮ่องสอน","-","-","0"
"11209","โรงพยาบาลโกรกพระ จ.นครสวรรค์","-","-","0"
"11210","โรงพยาบาลชุมแสง จ.นครสวรรค์","-","-","0"
"11211","โรงพยาบาลหนองบัว จ.นครสวรรค์","-","-","0"
"11212","โรงพยาบาลบรรพตพิสัย จ.นครสวรรค์","-","-","0"
"11213","โรงพยาบาลเก้าเลี้ยว จ.นครสวรรค์","-","-","0"
"11214","โรงพยาบาลตาคลี จ.นครสวรรค์","-","-","0"
"11215","โรงพยาบาลท่าตะโก จ.นครสวรรค์","-","-","0"
"11216","โรงพยาบาลไพศาลี จ.นครสวรรค์","-","-","0"
"11217","โรงพยาบาลพยุหะคีรี จ.นครสวรรค์","-","-","0"
"11218","โรงพยาบาลลาดยาว จ.นครสวรรค์","-","-","0"
"11219","โรงพยาบาลตากฟ้า จ.นครสวรรค์","14","ไม่ระบุ/ไม่ทราบ","1"
"11220","โรงพยาบาลแม่วงก์ จ.นครสวรรค์","-","-","0"
"11221","โรงพยาบาลทัพทัน จ.อุทัยธานี","-","-","0"
"11222","โรงพยาบาลสว่างอารมณ์ จ.อุทัยธานี","-","-","0"
"11223","โรงพยาบาลหนองฉาง จ.อุทัยธานี","-","-","0"
"11224","โรงพยาบาลหนองขาหย่าง จ.อุทัยธานี","-","-","0"
"11225","โรงพยาบาลบ้านไร่ จ.อุทัยธานี","14","ประถมศึกษา","1"
"11226","โรงพยาบาลลานสัก จ.อุทัยธานี","-","-","0"
"11227","โรงพยาบาลห้วยคต จ.อุทัยธานี","-","-","0"
"11228","โรงพยาบาลทุ่งโพธิ์ทะเล จ.กำแพงเพชร","-","-","0"
"11229","โรงพยาบาลไทรงาม จ.กำแพงเพชร","-","-","0"
"11230","โรงพยาบาลคลองลาน จ.กำแพงเพชร","-","-","0"
"11231","โรงพยาบาลขาณุวรลักษบุรี จ.กำแพงเพชร","-","-","0"
"11232","โรงพยาบาลคลองขลุง จ.กำแพงเพชร","14","ไม่ได้รับการศึกษา","1"
"11233","โรงพยาบาลพรานกระต่าย จ.กำแพงเพชร","-","-","0"
"11234","โรงพยาบาลลานกระบือ จ.กำแพงเพชร","-","-","0"
"11235","โรงพยาบาลทรายทองวัฒนา จ.กำแพงเพชร","-","-","0"
"11236","โรงพยาบาลปางศิลาทอง จ.กำแพงเพชร","-","-","0"
"11238","โรงพยาบาลบ้านตาก จ.ตาก","-","-","0"
"11239","โรงพยาบาลสามเงา จ.ตาก","-","-","0"
"11240","โรงพยาบาลแม่ระมาด จ.ตาก","-","-","0"
"11241","โรงพยาบาลท่าสองยาง จ.ตาก","-","-","0"
"11242","โรงพยาบาลพบพระ จ.ตาก","14","ไม่ระบุ/ไม่ทราบ","1"
"11243","โรงพยาบาลอุ้มผาง จ.ตาก","-","-","0"
"11244","โรงพยาบาลบ้านด่านลานหอย จ.สุโขทัย","-","-","0"
"11245","โรงพยาบาลคีรีมาศ จ.สุโขทัย","-","-","0"
"11246","โรงพยาบาลกงไกรลาศ จ.สุโขทัย","-","-","0"
"11247","โรงพยาบาลศรีสัชนาลัย จ.สุโขทัย","-","-","0"
"11248","โรงพยาบาลสวรรคโลก จ.สุโขทัย","-","-","0"
"11249","โรงพยาบาลศรีนคร จ.สุโขทัย","-","-","0"
"11250","โรงพยาบาลทุ่งเสลี่ยม จ.สุโขทัย","14","ประถมศึกษา","1"
"11251","โรงพยาบาลชาติตระการ จ.พิษณุโลก","-","-","0"
"11252","โรงพยาบาลบางระกำ จ.พิษณุโลก","14","ไม่ระบุ/ไม่ทราบ","1"
"11253","โรงพยาบาลบางกระทุ่ม จ.พิษณุโลก","-","-","0"
"11254","โรงพยาบาลพรหมพิราม จ.พิษณุโลก","-","-","0"
"11255","โรงพยาบาลวัดโบสถ์ จ.พิษณุโลก","-","-","0"
"11256","โรงพยาบาลวังทอง จ.พิษณุโลก","-","-","0"
"11257","โรงพยาบาลเนินมะปราง จ.พิษณุโลก","-","-","0"
"11258","โรงพยาบาลวังทรายพูน จ.พิจิตร","14","ประถมศึกษา","1"
"11259","โรงพยาบาลโพธิ์ประทับช้าง จ.พิจิตร","-","-","0"
"11260","โรงพยาบาลบางมูลนาก จ.พิจิตร","-","-","0"
"11261","โรงพยาบาลโพทะเล จ.พิจิตร","-","-","0"
"11262","โรงพยาบาลสามง่าม จ.พิจิตร","-","-","0"
"11263","โรงพยาบาลทับคล้อ จ.พิจิตร","-","-","0"
"11264","โรงพยาบาลชนแดน จ.เพชรบูรณ์","-","-","0"
"11265","โรงพยาบาลหล่มสัก จ.เพชรบูรณ์","-","-","0"
"11266","โรงพยาบาลวิเชียรบุรี จ.เพชรบูรณ์","14","ไม่ระบุ/ไม่ทราบ","1"
"11267","โรงพยาบาลศรีเทพ จ.เพชรบูรณ์","-","-","0"
"11268","โรงพยาบาลหนองไผ่ จ.เพชรบูรณ์","-","-","0"
"11269","โรงพยาบาลบึงสามพัน จ.เพชรบูรณ์","-","-","0"
"11270","โรงพยาบาลน้ำหนาว จ.เพชรบูรณ์","-","-","0"
"11271","โรงพยาบาลวังโป่ง จ.เพชรบูรณ์","-","-","0"
"11272","โรงพยาบาลเขาค้อ จ.เพชรบูรณ์","-","-","0"
"11273","โรงพยาบาลสวนผึ้ง จ.ราชบุรี","14","ประถมศึกษา","1"
"11274","โรงพยาบาลบางแพ จ.ราชบุรี","-","-","0"
"11275","โรงพยาบาลเจ็ดเสมียน จ.ราชบุรี","-","-","0"
"11276","โรงพยาบาลปากท่อ จ.ราชบุรี","-","-","0"
"11277","โรงพยาบาลวัดเพลง จ.ราชบุรี","14","มัธยมศึกษา (ม.1-ม.6) หรือ ปวช.","1"
"11278","โรงพยาบาลไทรโยค จ.กาญจนบุรี","-","-","0"
"11279","โรงพยาบาลสมเด็จพระปิยมหาราชรมณียเขต จ.กาญจนบุรี","-","-","0"
"11280","โรงพยาบาลบ่อพลอย จ.กาญจนบุรี","14","ก่อนประถมศึกษา","1"
"11281","โรงพยาบาลท่ากระดาน จ.กาญจนบุรี","-","-","0"
"11282","โรงพยาบาลสมเด็จพระสังฆราชองค์ที่ ๑๙ จ.กาญจนบุรี","-","-","0"
"11283","โรงพยาบาลทองผาภูมิ จ.กาญจนบุรี","-","-","0"
"11284","โรงพยาบาลสังขละบุรี จ.กาญจนบุรี","-","-","0"
"11285","โรงพยาบาลเจ้าคุณไพบูลย์พนมทวน จ.กาญจนบุรี","-","-","0"
"11286","โรงพยาบาลเลาขวัญ จ.กาญจนบุรี","-","-","0"
"11287","โรงพยาบาลด่านมะขามเตี้ย จ.กาญจนบุรี","-","-","0"
"11288","โรงพยาบาลสถานพระบารมี จ.กาญจนบุรี","-","-","0"
"11289","โรงพยาบาลเดิมบางนางบวช จ.สุพรรณบุรี","-","-","0"
"11290","โรงพยาบาลด่านช้าง จ.สุพรรณบุรี","-","-","0"
"11291","โรงพยาบาลบางปลาม้า จ.สุพรรณบุรี","-","-","0"
"11292","โรงพยาบาลศรีประจันต์ จ.สุพรรณบุรี","-","-","0"
"11293","โรงพยาบาลดอนเจดีย์ จ.สุพรรณบุรี","-","-","0"
"11294","โรงพยาบาลสามชุก จ.สุพรรณบุรี","-","-","0"
"11295","โรงพยาบาลอู่ทอง จ.สุพรรณบุรี","-","-","0"
"11296","โรงพยาบาลหนองหญ้าไซ จ.สุพรรณบุรี","-","-","0"
"11297","โรงพยาบาลกำแพงแสน จ.นครปฐม","-","-","0"
"11298","โรงพยาบาลนครชัยศรี จ.นครปฐม","-","-","0"
"11299","โรงพยาบาลห้วยพลู จ.นครปฐม","-","-","0"
"11300","โรงพยาบาลดอนตูม จ.นครปฐม","-","-","0"
"11301","โรงพยาบาลบางเลน จ.นครปฐม","14","ไม่ระบุ/ไม่ทราบ","1"
"11302","โรงพยาบาลสามพราน จ.นครปฐม","14","ไม่ได้รับการศึกษา","1"
"11303","โรงพยาบาลพุทธมณฑล จ.นครปฐม","-","-","0"
"11304","โรงพยาบาลกระทุ่มแบน จ.สมุทรสาคร","-","-","0"
"11305","โรงพยาบาลบ้านแพ้ว จ.สมุทรสาคร","-","-","0"
"11306","โรงพยาบาลนภาลัย จ.สมุทรสงคราม","-","-","0"
"11307","โรงพยาบาลอัมพวา จ.สมุทรสงคราม","-","-","0"
