"โรงพยาบาล","วันที่ตามเดือนที่เลือก"
"รวม","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31"
"J028","J128","J028","J128","J028","J128","J028","J128","J028","J128","J028","J128","J028","J128","J028","J128","J028","J128","J028","J128","J028","J128","J028","J128","J028","J128","J028","J128","J028","J128","J028","J128","J028","J128","J028","J128","J028","J128","J028","J128","J028","J128","J028","J128","J028","J128","J028","J128","J028","J128","J028","J128","J028","J128","J028","J128","J028","J128","J028","J128","J028","J128","J028","J128"
"23839  :  โรงพยาบาลเทพรัตน์นครราชสีมา","40","1,555","1","48","0","72","1","51","5","56","2","63","2","38","0","44","3","63","4","28","2","44","0","62","3","42","2","68","1","45","0","61","0","64","0","55","1","45","2","60","0","51","1","65","3","51","2","53","0","48","2","62","0","56","1","44","0","45","1","49","1","37","1","14"
"24060  :  โรงพยาบาลมหาวิทยาลัยเทคโนโลยีสุรนารี","402","752","8","35","12","33","12","24","13","38","21","25","16","16","15","16","12","21","3","22","0","29","18","17","21","23","3","30","8","15","18","27","11","17","1","22","19","28","24","27","16","40","16","17","17","28","5","35","9","22","42","26","12","32","3","28","7","15","16","18","6","21","18","17"
"24692  :  โรงพยาบาลเฉลิมพระเกียรติ","103","91","2","3","2","4","3","3","4","9","2","6","6","3","6","3","1","1","1","0","3","5","3","3","0","3","6","2","9","2","4","0","5","3","7","4","3","10","5","2","5","6","8","3","14","9","2","2","0","2","1","0","0","2","0","2","1","0","0","2","0","1","0","1"
"27839  :  โรงพยาบาลบัวลาย","0","67","0","4","0","3","0","3","0","2","0","3","0","2","0","1","0","0","0","1","0","4","0","0","0","1","0","4","0","2","0","1","0","1","0","3","0","1","0","7","0","6","0","1","0","2","0","1","0","4","0","2","0","1","0","1","0","4","0","2","0","2","0","0"
"27840  :  โรงพยาบาลสีดา","1,943","59","48","3","77","3","55","5","75","4","33","1","29","2","65","0","59","4","78","0","136","2","65","3","96","1","61","6","72","3","70","4","42","1","74","2","99","0","116","7","111","3","82","1","91","4","79","1","57","2","52","4","58","2","40","2","93","2","84","3","73","2","32","0"
"27841  :  โรงพยาบาลเทพารักษ์","114","47","4","2","7","4","3","1","5","2","6","0","0","3","3","0","5","1","7","5","4","2","1","0","2","4","3","0","3","2","5","3","0","2","2","1","3","2","9","1","3","2","8","3","3","0","6","2","0","0","6","2","8","1","3","3","4","0","2","0","1","2","0","0"
"10667  :  โรงพยาบาลบุรีรัมย์","3,568","1,403","139","54","125","61","183","71","100","70","139","76","119","68","116","62","167","71","133","77","183","77","112","74","150","72","171","78","154","70","208","91","210","82","231","65","229","69","149","88","227","81","201","77","240","78","200","69","285","71","162","68","230","68","173","81","83","55","83","47","75","49","49","48"
"10895  :  โรงพยาบาลคูเมือง","2,054","1,322","41","26","46","28","72","39","59","44","86","30","102","34","74","21","76","33","114","47","70","58","72","32","36","10","71","28","71","38","90","66","75","39","77","54","60","30","40","41","65","62","74","56","68","67","79","62","70","77","55","65","47","49","72","52","85","57","45","38","39","22","36","19"
"10896  :  โรงพยาบาลกระสัง","79","834","3","48","6","23","0","22","3","31","1","26","1","23","2","36","5","34","8","22","5","51","2","25","5","31","4","16","3","36","3","50","0","26","4","22","0","23","6","32","5","32","2","41","2","46","2","23","5","10","1","40","5","56","3","60","3","43","2","42","8","21","3","16"
"10897  :  โรงพยาบาลนางรอง","103","1,450","5","29","3","36","0","40","2","33","5","55","0","43","0","48","0","45","1","46","4","66","6","43","8","52","8","47","7","58","1","65","0","49","3","56","9","55","3","44","1","53","3","78","8","38","2","54","0","59","3","72","3","64","3","58","2","33","5","22","5","26","3","10"
"10898  :  โรงพยาบาลหนองกี่","78","647","10","28","4","29","3","26","2","15","3","20","2","17","0","41","2","25","0","38","2","17","0","17","1","21","5","20","0","20","2","14","0","27","3","28","1","34","6","40","3","30","8","19","1","17","3","33","3","20","5","9","2","20","3","22","4","14","1","9","0","31","1","32"
"10899  :  โรงพยาบาลละหานทราย","11","1,365","0","42","0","75","0","51","2","29","0","17","4","31","0","34","0","22","1","32","0","32","0","19","0","42","0","34","0","44","0","49","0","45","0","50","2","60","0","42","1","78","0","46","1","67","0","54","0","56","0","54","0","40","0","45","0","62","0","38","0","55","0","28"
"10900  :  โรงพยาบาลประโคนชัย","131","971","5","29","2","39","3","29","6","25","5","32","9","23","4","21","1","45","1","28","8","42","1","37","3","47","3","23","2","46","9","18","6","36","3","35","6","24","4","36","8","33","13","36","4","36","2","29","2","30","13","36","2","33","3","46","2","34","4","30","0","8","5","17"
"10901  :  โรงพยาบาลบ้านกรวด","467","136","8","2","11","7","8","9","4","3","16","1","8","6","13","5","13","1","14","4","31","9","25","1","8","8","17","5","23","2","14","5","21","4","32","5","25","9","15","7","20","4","11","2","17","5","13","7","12","5","5","5","4","3","5","4","11","2","4","2","4","5","62","3"
"10902  :  โรงพยาบาลพุทไธสง","4","71","0","0","0","0","0","0","1","0","0","1","0","2","0","1","1","4","0","4","0","0","0","2","0","2","0","7","0","3","0","1","0","4","1","3","0","3","0","5","0","3","0","5","0","4","0","3","0","3","0","1","0","1","0","2","0","3","0","3","0","2","1","0"
"10904  :  โรงพยาบาลลำปลายมาศ","5","2,547","0","80","0","66","0","53","0","64","0","79","0","58","0","92","0","70","3","63","1","72","0","115","0","88","0","112","0","116","0","136","0","76","0","113","0","84","0","87","0","114","0","111","0","103","0","104","0","91","0","110","0","128","1","117","0","105","0","81","0","57","0","41"
"10905  :  โรงพยาบาลสตึก","1","1,256","0","83","0","40","0","79","0","64","0","41","0","29","0","13","0","26","0","18","0","30","0","28","0","33","0","15","0","30","0","29","0","28","1","56","0","43","0","25","0","39","0","57","0","71","0","49","0","45","0","76","0","63","0","86","0","21","0","22","0","13","0","11"
"10906  :  โรงพยาบาลปะคำ","96","153","0","3","0","9","1","4","1","9","0","6","2","5","1","5","0","3","5","7","2","7","0","6","5","10","0","4","2","4","0","4","2","4","7","2","9","8","11","2","14","2","7","7","3","2","9","1","12","1","0","1","5","13","1","13","0","3","3","7","0","4","2","0"
"10907  :  โรงพยาบาลนาโพธิ์","2,397","355","100","7","74","11","60","13","71","13","62","28","96","13","82","13","93","22","71","21","78","22","44","9","64","17","97","15","106","12","104","16","79","14","116","11","133","7","76","22","118","7","115","11","120","23","94","17","106","4","133","13","131","31","94","8","96","12","104","16","110","10","57","12"
"10908  :  โรงพยาบาลหนองหงส์","249","1,476","4","73","2","68","1","49","2","93","8","66","10","71","13","84","7","82","10","59","7","48","13","70","10","69","3","73","8","92","9","21","5","53","6","52","10","77","11","52","7","59","5","61","12","50","21","94","9","94","14","85","11","80","16","90","12","76","4","57","10","55","6","67"
"10909  :  โรงพยาบาลพลับพลาชัย","1,208","353","78","31","72","6","22","39","19","12","29","19","16","13","52","30","47","12","115","14","37","11","49","19","19","13","11","9","14","17","7","12","38","17","7","15","119","23","111","22","103","26","110","7","78","19","14","8","47","7","34","10","10","13","15","11","51","15","51","13","1","6","2","1"
"10910  :  โรงพยาบาลห้วยราช","37","96","1","4","0","1","1","3","1","1","1","4","1","1","4","2","0","2","0","3","2","5","0","1","2","5","1","14","3","1","0","5","2","6","2","0","1","6","1","4","2","6","4","4","1","1","1","5","2","5","0","2","2","2","1","2","0","2","0","0","0","2","1","1"
"10911  :  โรงพยาบาลโนนสุวรรณ","1","513","0","12","0","13","0","24","0","10","0","18","1","12","0","18","0","30","0","11","0","36","0","29","0","25","0","32","0","23","0","31","0","27","0","30","0","31","0","27","0","34","0","22","0","23","0","43","0","22","0","17","0","25","0","31","0","19","0","13","0","12","0","16"
"10912  :  โรงพยาบาลชำนิ","0","257","0","12","0","12","0","9","0","13","0","14","0","4","0","14","0","2","0","6","0","6","0","6","0","9","0","6","0","10","0","7","0","4","0","2","0","8","0","15","0","12","0","14","0","10","0","8","0","9","0","16","0","4","0","8","0","6","0","8","0","8","0","3"
"10913  :  โรงพยาบาลบ้านใหม่ไชยพจน์","2,309","121","56","3","58","3","30","1","22","4","69","3","67","2","34","6","82","5","92","3","36","10","33","4","92","0","80","4","58","5","82","5","106","4","65","0","127","7","115","3","92","3","85","2","135","5","96","3","113","4","93","9","172","5","99","2","93","10","131","3","74","5","73","2"
"10914  :  โรงพยาบาลโนนดินแดง","10","608","0","20","0","14","0","17","0","22","2","7","0","14","0","34","1","15","0","12","0","9","0","14","0","13","4","17","1","28","0","29","0","17","0","31","0","26","0","26","1","29","0","11","0","5","0","24","0","37","0","26","0","30","0","36","0","8","1","4","0","14","0","19"
"11493  :  โรงพยาบาลค่ายสมเด็จเจ้าพระยามหากษัตริย์ศึก","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11619  :  โรงพยาบาลเฉลิมพระเกียรติ","0","662","0","16","0","25","0","27","0","23","0","11","0","20","0","21","0","19","0","5","0","32","0","25","0","19","0","20","0","27","0","11","0","21","0","14","0","14","0","17","0","24","0","34","0","25","0","33","0","33","0","24","0","17","0","24","0","35","0","14","0","15","0","18"
"23578  :  โรงพยาบาลแคนดง","0","195","0","14","0","14","0","5","0","5","0","9","0","12","0","9","0","13","0","7","0","6","0","7","0","8","0","9","0","4","0","4","0","6","0","3","0","4","0","5","0","5","0","5","0","7","0","9","0","9","0","6","0","6","0","12","0","3","0","2","0","2","0","0"
"28020  :  โรงพยาบาลบ้านด่าน","350","24","38","0","0","3","7","2","10","1","1","0","16","0","8","1","4","0","8","0","2","2","5","0","7","0","24","0","1","1","1","0","1","2","25","3","32","3","11","1","26","3","30","0","10","2","7","0","11","0","4","1","10","0","8","0","18","1","15","0","10","0","3","0"
"10668  :  โรงพยาบาลสุรินทร์","224","1,731","2","81","2","75","5","64","10","64","3","83","90","181","0","64","3","62","10","61","5","83","2","55","4","61","5","58","7","61","5","61","7","60","3","66","8","62","4","74","4","79","5","68","1","81","3","82","5","72","10","59","5","59","2","53","7","60","3","61","5","52","1","26"
"10915  :  โรงพยาบาลชุมพลบุรี","14","120","0","14","0","14","0","2","1","5","0","6","0","6","4","7","0","3","0","1","0","4","0","6","0","5","0","1","0","2","1","6","0","1","0","1","0","0","0","4","0","4","4","2","2","3","0","5","0","2","0","7","0","4","0","4","1","7","1","1","0","5","2","1"
"10916  :  โรงพยาบาลท่าตูม","1,044","433","28","18","26","13","11","11","42","21","25","16","33","17","33","17","46","22","42","9","30","23","38","22","30","16","33","9","26","6","38","12","33","13","33","6","43","12","51","17","20","10","47","11","42","20","35","18","37","15","27","8","39","18","49","17","71","19","20","6","22","11","8","7"
"10917  :  โรงพยาบาลจอมพระ","61","126","1","5","4","5","1","1","7","2","0","6","7","10","0","1","1","4","2","4","3","6","3","6","6","4","6","2","0","3","4","2","1","7","3","7","0","9","1","5","2","9","5","9","0","1","0","2","0","1","1","5","1","1","0","5","1","0","0","3","1","0","1","4"
"10918  :  โรงพยาบาลปราสาท","473","276","16","9","9","12","10","4","13","8","10","14","25","6","12","12","15","6","18","6","17","8","21","10","34","12","38","7","20","12","9","15","16","6","26","17","35","11","17","9","16","11","22","15","10","10","15","7","6","11","13","16","7","8","8","12","26","20","0","3","1","8","1","8"
"10919  :  โรงพยาบาลกาบเชิง","3,161","830","115","28","86","42","150","44","111","43","138","45","97","47","106","49","91","40","160","15","164","24","96","44","76","19","123","31","83","22","73","63","56","23","180","27","124","9","72","25","107","32","122","19","83","48","150","26","36","24","111","16","143","22","99","27","123","19","58","28","72","25","39","28"
"10920  :  โรงพยาบาลรัตนบุรี","237","252","3","12","4","7","7","9","5","8","3","4","2","7","12","6","4","7","7","8","12","7","4","14","16","10","5","10","2","11","8","5","3","7","49","6","5","13","3","16","27","10","2","13","24","10","3","10","1","10","19","9","2","11","1","6","2","9","0","3","3","8","3","1"
"10921  :  โรงพยาบาลสนม","202","29","1","7","0","0","0","0","24","4","0","0","0","0","14","0","23","1","0","1","1","0","11","0","9","3","6","4","5","0","19","0","0","0","0","1","2","0","18","1","0","0","7","0","1","0","19","1","0","2","0","0","11","1","1","1","3","1","0","1","24","0","3","0"
"10922  :  โรงพยาบาลศีขรภูมิ","79","1,203","1","25","2","32","1","28","0","39","1","30","0","27","0","49","4","33","0","26","0","41","4","39","4","22","16","56","3","41","0","55","0","40","2","40","1","44","0","32","2","44","4","45","2","48","0","38","8","59","4","69","4","34","9","55","5","42","2","28","7","52","0","26"
"10923  :  โรงพยาบาลสังขะ","181","714","2","16","6","27","4","25","4","20","5","15","15","29","3","15","7","19","4","29","6","15","2","32","3","23","3","33","13","8","10","22","1","25","3","23","8","42","6","23","17","36","28","58","2","30","8","26","4","41","5","27","1","22","10","30","2","33","2","29","1","8","2","7"
"10924  :  โรงพยาบาลลำดวน","9","151","0","3","0","4","0","16","0","14","0","6","1","3","0","4","0","1","0","6","1","3","0","6","0","9","1","7","1","4","1","10","1","5","0","4","0","1","0","3","0","10","0","4","0","8","0","3","1","3","2","10","0","3","0","2","0","0","0","0","0","2","0","0"
"10925  :  โรงพยาบาลสำโรงทาบ","9","174","0","6","0","3","0","3","0","1","0","5","0","10","0","5","0","6","0","4","0","2","0","1","1","8","0","8","0","6","0","4","0","5","0","4","0","5","0","1","0","3","0","14","1","10","1","10","1","8","2","12","0","10","0","3","2","6","1","12","0","3","0","2"
"10926  :  โรงพยาบาลบัวเชด","2,981","273","81","8","96","19","109","13","77","13","99","7","76","9","87","5","104","6","113","20","144","13","130","9","154","10","130","3","128","3","159","10","93","8","142","6","134","10","150","10","140","19","109","14","123","8","77","7","97","10","86","10","122","5","154","5","102","16","102","8","78","9","47","8"
"11494  :  โรงพยาบาลค่ายวีรวัฒน์โยธิน","94","0","8","0","0","0","3","0","1","0","5","0","7","0","12","0","1","0","0","0","2","0","7","0","1","0","11","0","2","0","4","0","2","0","3","0","1","0","3","0","0","0","3","0","1","0","7","0","4","0","2","0","0","0","3","0","2","0","5","0","0","0","0","0"
"22302  :  โรงพยาบาลพนมดงรัก เฉลิมพระเกียรติ 80 พรรษา","568","417","14","40","7","12","22","22","10","8","11","17","9","9","9","5","15","12","8","14","17","7","13","10","26","16","7","8","10","7","30","11","24","15","23","13","17","25","20","15","19","17","18","14","17","15","28","12","42","12","29","10","19","15","14","19","41","12","17","13","16","9","16","3"
"27842  :  โรงพยาบาลเขวาสินรินทร์","2","93","0","2","0","0","0","7","0","2","0","2","0","1","0","3","0","4","0","1","0","1","0","1","0","6","1","3","0","1","0","2","0","2","0","2","0","0","0","9","0","4","0","1","1","9","0","0","0","8","0","10","0","3","0","2","0","2","0","6","0","1","0","0"
"27843  :  โรงพยาบาลศรีณรงค์","25","352","0","8","0","8","2","6","0","8","1","12","1","15","0","5","0","2","0","18","0","6","1","15","1","10","0","19","5","16","1","8","1","11","0","13","0","23","1","14","1","15","3","24","0","14","0","14","1","25","0","14","0","9","1","16","0","4","4","6","1","8","0","1"
"27844  :  โรงพยาบาลโนนนารายณ์","213","115","13","4","14","7","4","0","3","4","5","3","10","4","11","5","13","3","8","6","6","4","6","8","12","6","4","2","7","5","7","3","4","1","6","3","5","1","8","6","5","0","9","3","2","0","5","3","5","6","8","5","7","4","5","4","3","3","14","9","7","6","3","1"
"10700  :  โรงพยาบาลศรีสะเกษ","2,309","669","64","21","93","22","59","32","72","28","67","10","55","25","62","22","23","33","41","34","80","39","91","29","173","25","45","25","22","30","70","34","64","17","71","33","104","28","78","15","140","39","59","23","66","43","103","38","58","31","133","26","94","19","45","40","53","11","124","17","71","20","48","9"
"10927  :  โรงพยาบาลยางชุมน้อย","792","42","11","1","12","1","21","5","24","4","10","1","5","0","44","1","30","3","38","2","76","4","39","3","32","2","7","0","54","3","49","3","26","0","53","1","26","1","15","1","22","1","24","0","10","0","3","0","22","0","19","0","23","0","19","4","20","0","11","1","1","0","46","0"
"10928  :  โรงพยาบาลกันทรารมย์","3,482","312","82","10","76","15","42","15","38","9","81","13","15","13","53","8","68","15","185","10","94","6","198","12","168","4","79","21","137","9","149","10","170","7","155","14","222","4","37","5","121","10","165","8","130","2","120","7","105","6","87","17","187","10","42","16","112","22","130","8","171","9","181","4"
"10929  :  โรงพยาบาลกันทรลักษ์","842","1,450","8","17","1","23","23","66","28","32","0","26","11","36","11","16","7","16","10","14","19","20","12","36","16","52","5","17","18","29","22","19","13","18","36","79","10","30","26","78","17","94","45","103","13","39","7","38","47","66","33","56","33","55","17","63","48","71","20","40","288","183","5","28"
"10930  :  โรงพยาบาลขุขันธ์","414","200","8","5","17","5","27","5","15","9","24","11","22","6","14","6","19","8","26","11","7","8","23","5","22","18","11","6","28","5","16","6","10","6","14","7","16","18","11","1","7","4","11","3","13","12","12","4","13","7","7","3","7","4","2","5","11","7","1","5","0","4","2","1"
"10931  :  โรงพยาบาลไพรบึง","91","116","2","2","1","10","0","5","0","12","1","6","0","11","0","10","9","7","2","0","1","0","9","3","1","4","7","3","3","4","6","4","7","5","9","7","3","9","0","0","10","2","7","3","7","1","1","0","1","0","0","7","3","1","0","1","1","1","0","0","0","0","0","0"
"10932  :  โรงพยาบาลปรางค์กู่","42","399","3","20","6","16","0","24","1","20","0","15","0","19","2","20","1","15","0","18","0","14","0","13","2","21","7","12","1","17","4","11","0","9","1","11","1","16","5","24","1","6","0","11","0","10","4","14","2","13","0","13","0","7","0","5","1","3","0","2","0","2","0","2"
"10933  :  โรงพยาบาลขุนหาญ","49","360","4","11","4","8","5","6","2","7","0","7","0","7","0","6","0","7","5","10","1","21","0","9","1","9","2","10","4","7","3","6","1","12","8","17","2","13","0","10","0","24","2","15","0","22","2","14","0","17","1","10","0","12","1","16","0","13","0","15","0","16","1","4"
"10934  :  โรงพยาบาลราษีไศล","45","220","2","6","1","3","4","16","2","8","2","6","1","9","1","5","1","10","4","8","0","8","1","19","0","4","0","4","0","9","0","7","0","3","0","6","0","5","2","11","2","11","1","2","0","4","2","3","5","13","4","5","0","4","2","9","3","9","0","7","1","1","4","5"
"10935  :  โรงพยาบาลอุทุมพรพิสัย","128","9","1","4","4","0","0","3","8","0","16","0","3","0","2","0","5","0","3","0","3","0","5","0","1","0","5","0","9","0","1","0","2","0","4","0","3","0","2","0","2","0","7","0","11","0","4","0","6","0","3","0","4","1","4","0","2","0","7","1","0","0","2","0"
"10936  :  โรงพยาบาลบึงบูรพ์","288","1","24","0","16","0","1","0","1","0","17","0","13","0","10","0","7","0","0","0","2","0","6","0","11","0","0","0","0","0","11","0","9","0","1","0","12","0","26","0","0","0","2","1","4","0","51","0","17","0","1","0","2","0","22","0","2","0","2","0","3","0","15","0"
"10937  :  โรงพยาบาลห้วยทับทัน","2,010","3","61","0","25","0","100","0","71","0","90","0","103","0","87","0","47","1","63","0","132","0","57","0","95","1","119","0","11","0","36","0","54","0","77","0","157","0","141","0","95","1","25","0","71","0","84","0","84","0","31","0","62","0","73","0","67","0","21","0","80","0","55","0"
"10938  :  โรงพยาบาลโนนคูณ","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0"
"10939  :  โรงพยาบาลศรีรัตนะ","1","184","0","6","0","3","0","7","0","11","0","9","0","4","0","9","0","13","1","9","0","7","0","6","0","8","0","8","0","14","0","11","0","10","0","4","0","10","0","6","0","2","0","2","0","5","0","3","0","2","0","1","0","4","0","3","0","3","0","4","0","4","0","0"
"10940  :  โรงพยาบาลวังหิน","1,225","72","17","5","12","6","14","5","64","7","59","5","24","4","80","4","115","4","98","5","61","4","56","4","56","5","10","3","152","2","57","2","30","1","20","2","33","3","10","3","7","1","87","1","29","2","94","1","20","5","31","1","8","2","17","1","7","0","12","0","5","0","2","0"
"10941  :  โรงพยาบาลน้ำเกลี้ยง","20","118","0","3","1","1","0","1","0","4","0","2","0","8","1","2","0","10","0","1","1","0","0","2","2","0","0","6","1","1","1","1","1","0","3","23","3","5","0","12","0","7","2","7","0","5","1","1","1","1","2","5","1","0","1","1","0","4","1","5","0","2","1","0"
"10942  :  โรงพยาบาลภูสิงห์","33","59","1","1","6","2","9","2","0","2","0","0","0","1","0","0","0","5","0","4","0","2","0","1","0","2","0","1","0","3","0","0","0","0","1","1","3","10","0","1","1","2","0","5","0","0","0","1","5","1","0","4","7","3","0","2","0","1","0","1","0","0","0","1"
"10943  :  โรงพยาบาลเมืองจันทร์","1,175","646","31","13","59","8","40","7","36","18","42","25","33","18","75","12","44","18","24","4","49","11","31","11","29","12","28","10","30","25","21","17","51","37","53","44","53","32","69","26","55","15","54","28","50","32","17","21","44","36","38","20","44","21","18","20","45","22","38","35","65","26","39","22"
"23125  :  โรงพยาบาลเบญจลักษ์เฉลิมพระเกียรติ 80 พรรษา","211","473","10","27","6","12","24","25","1","13","13","4","11","11","12","20","3","3","12","24","1","12","5","14","19","33","2","10","26","18","2","9","6","11","12","26","6","26","1","52","0","41","6","8","0","9","2","6","3","13","4","13","8","20","4","8","4","20","5","12","3","3","5","9"
"28014  :  โรงพยาบาลพยุห์","460","16","13","0","7","0","3","0","14","0","14","0","11","0","22","0","23","8","23","0","19","0","26","0","33","0","46","2","17","2","6","1","13","0","20","1","21","7","21","0","20","1","17","0","9","0","8","0","4","0","9","1","7","1","2","2","8","0","10","0","18","0","11","0"
"28015  :  โรงพยาบาลโพธิ์ศรีสุวรรณ","1","71","0","5","0","2","0","1","0","1","0","4","0","4","0","2","0","3","0","4","0","8","0","2","0","5","0","0","0","1","1","1","0","6","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","4","0","2","0","4","0","6","0","3","0","0"
"28016  :  โรงพยาบาลศิลาลาด","102","29","1","0","2","0","3","0","4","0","0","1","10","1","0","0","7","1","6","1","13","1","2","1","7","4","6","2","0","0","4","0","1","3","5","1","2","0","0","0","1","1","2","1","9","0","2","1","2","0","1","0","4","2","4","0","0","0","2","1","1","3","1","4"
"10669  :  โรงพยาบาลสรรพสิทธิประสงค์","946","421","25","16","20","24","18","13","35","9","41","13","17","7","28","10","32","11","20","18","12","15","36","18","23","16","23","15","27","12","25","11","29","16","25","7","32","16","29","12","26","14","28","19","30","12","11","9","16","25","153","17","21","11","23","14","45","12","46","12","37","10","32","9"
"10944  :  โรงพยาบาลศรีเมืองใหม่","2","33","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","2","0","0","0","4","0","1","0","2","0","0","0","2","0","1","0","3","0","0","0","2","0","0","0","0","0","4","0","1","0","1","0","0","0","0","0","5","0","3","0","0"
"10945  :  โรงพยาบาลโขงเจียม","143","312","1","7","2","14","11","17","6","23","5","9","9","11","1","11","5","9","6","23","2","8","3","19","7","18","2","19","3","29","6","11","2","12","7","8","6","18","10","15","1","5","6","20","5","16","2","13","1","3","12","20","3","8","4","16","4","24","3","15","6","10","4","2"
"10946  :  โรงพยาบาลเขื่องใน","321","1,579","55","82","60","63","34","21","1","62","26","66","2","71","0","54","1","76","5","50","17","38","40","55","12","71","0","45","6","72","0","93","3","63","1","43","0","62","1","51","7","48","0","18","2","42","0","27","0","29","0","62","0","63","30","55","15","32","1","28","4","32","0","11"
"10947  :  โรงพยาบาลเขมราฐ","2,138","858","72","42","83","43","26","25","75","70","183","54","70","29","91","15","72","99","23","18","79","49","114","52","43","67","74","30","77","35","180","57","89","60","194","44","79","49","150","49","100","43","158","44","149","69","154","78","121","59","223","74","59","32","36","28","41","38","0","3","0","0","0","0"
"10948  :  โรงพยาบาลนาจะหลวย","7","234","0","3","0","13","0","21","0","8","0","9","0","13","0","7","0","4","0","9","0","10","1","1","0","7","0","13","1","12","0","16","0","5","0","2","0","8","0","8","1","5","1","16","0","13","0","5","0","3","1","4","1","5","0","2","0","3","1","6","0","3","0","1"
"10949  :  โรงพยาบาลน้ำยืน","0","163","0","11","0","23","0","12","0","10","0","4","0","8","0","11","0","9","0","2","0","7","0","5","0","4","0","0","0","2","0","0","0","9","0","1","0","5","0","7","0","0","0","5","0","3","0","2","0","2","0","3","0","1","0","1","0","4","0","7","0","3","0","4"
"10950  :  โรงพยาบาลบุณฑริก","148","1,174","1","54","1","57","10","45","4","26","1","41","1","20","0","26","2","32","1","14","3","42","8","46","4","52","5","35","16","25","7","50","2","19","6","20","19","53","2","45","12","32","1","32","6","34","0","35","7","28","8","83","3","37","2","39","5","68","4","15","6","74","1","8"
"10951  :  โรงพยาบาลตระการพืชผล","120","375","8","9","2","16","1","18","1","13","1","20","2","8","0","13","0","3","11","7","17","10","3","8","7","15","6","8","5","15","1","10","2","7","1","13","6","13","4","8","11","17","9","15","7","15","1","13","6","18","4","17","2","14","2","18","0","14","1","9","1","13","0","2"
"10952  :  โรงพยาบาลกุดข้าวปุ้น","134","14","3","1","3","1","3","0","9","0","4","0","1","1","2","0","3","2","9","0","7","0","9","1","2","2","1","0","12","0","5","0","6","0","4","1","9","0","6","0","7","1","3","0","4","0","2","0","1","1","4","0","1","0","8","1","2","0","1","1","2","0","1","1"
"10953  :  โรงพยาบาลม่วงสามสิบ","7","1,290","0","101","0","88","0","30","0","53","1","45","0","90","0","64","0","44","0","62","0","55","0","86","1","75","0","56","0","74","0","31","4","80","2","81","0","70","0","60","0","96","0","41","0","51","0","36","0","48","0","44","0","45","0","39","0","17","0","19","0","40","0","24"
"10954  :  โรงพยาบาลวารินชำราบ","7,739","352","305","6","234","8","268","8","322","8","319","11","245","3","316","10","332","11","308","13","261","10","251","15","370","19","326","15","257","13","302","18","260","7","270","12","329","23","306","11","234","11","260","14","228","18","204","15","137","13","151","18","194","8","150","6","173","12","154","10","347","8","162","4"
"10956  :  โรงพยาบาลพิบูลมังสาหาร","703","1,087","20","38","39","28","11","18","26","31","54","78","62","40","12","21","17","45","15","29","5","50","20","36","8","45","15","23","27","38","5","77","25","34","6","48","62","41","7","36","30","24","9","45","10","45","15","30","3","39","37","31","55","23","17","32","28","25","43","22","22","31","21","15"
"10957  :  โรงพยาบาลตาลสุม","7","149","0","3","0","4","0","5","0","1","0","4","1","19","0","1","0","6","0","0","0","2","1","5","2","12","1","3","1","5","0","11","0","0","1","6","0","2","0","1","0","8","0","2","0","4","0","5","0","4","0","4","0","13","0","4","0","0","0","3","0","10","0","2"
"10958  :  โรงพยาบาลโพธิ์ไทร","92","182","4","8","0","8","0","5","4","12","1","2","2","3","2","10","2","1","3","7","3","4","7","2","4","10","0","6","8","9","7","6","2","6","6","5","7","4","1","5","4","3","0","1","4","8","3","3","1","6","6","14","3","6","1","10","2","4","0","5","2","7","4","3"
"10959  :  โรงพยาบาลสำโรง","0","148","0","3","0","1","0","6","0","6","0","11","0","5","0","3","0","6","0","0","0","12","0","6","0","6","0","14","0","5","0","0","0","6","0","2","0","3","0","6","0","3","0","9","0","3","0","1","0","7","0","5","0","7","0","3","0","4","0","1","0","5","0","1"
"10960  :  โรงพยาบาลดอนมดแดง","0","98","0","3","0","2","0","1","0","1","0","1","0","0","0","0","0","3","0","1","0","6","0","4","0","11","0","5","0","1","0","2","0","1","0","17","0","1","0","4","0","5","0","0","0","2","0","4","0","4","0","9","0","5","0","0","0","2","0","3","0","0","0","0"
"10961  :  โรงพยาบาลสิรินธร","3","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
