"โรงพยาบาล","ปีการศึกษา 2562 เทอม1","ปีการศึกษา 2562 เทอม2"
"เด็กนักเรียน ม.1 ทั้งหมด(C)","ตรวจฟันตามเงื่อนไข(B)","%","ปราศจากฟันแท้ผุ(A)","%","เด็กนักเรียน ม.1 ทั้งหมด(C)","ตรวจฟันตามเงื่อนไข(B)","%","ปราศจากฟันแท้ผุ(A)","%"
"10846  :  โรงพยาบาลเขาสมิง","43","0","0.00","0","0.00","51","0","0.00","0","0.00"
"10847  :  โรงพยาบาลบ่อไร่","499","7","1.40","2","28.57","502","0","0.00","0","0.00"
"10848  :  โรงพยาบาลแหลมงอบ","248","3","1.21","3","100.00","259","0","0.00","0","0.00"
"10849  :  โรงพยาบาลเกาะกูด","80","9","11.25","5","55.56","84","0","0.00","0","0.00"
"13816  :  โรงพยาบาลเกาะช้าง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10697  :  โรงพยาบาลพุทธโสธร","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10833  :  โรงพยาบาลท่าตะเกียบ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10850  :  โรงพยาบาลบางคล้า","459","13","2.83","10","76.92","121","0","0.00","0","0.00"
"10851  :  โรงพยาบาลบางน้ำเปรี้ยว","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10852  :  โรงพยาบาลบางปะกง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10853  :  โรงพยาบาลบ้านโพธิ์","95","0","0.00","0","0.00","97","0","0.00","0","0.00"
"10854  :  โรงพยาบาลพนมสารคาม","1,591","84","5.28","81","96.43","1,594","1","0.06","0","0.00"
"10855  :  โรงพยาบาลสนามชัยเขต","573","7","1.22","6","85.71","565","1","0.18","1","100.00"
"10856  :  โรงพยาบาลแปลงยาว","271","0","0.00","0","0.00","262","0","0.00","0","0.00"
"13747  :  โรงพยาบาลราชสาส์น","69","0","0.00","0","0.00","67","0","0.00","0","0.00"
"31327  :  โรงพยาบาลคลองเขื่อน","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10665  :  โรงพยาบาลเจ้าพระยาอภัยภูเบศร","2,744","94","3.43","81","86.17","2,643","8","0.30","3","37.50"
"10857  :  โรงพยาบาลกบินทร์บุรี","913","16","1.75","3","18.75","714","2","0.28","0","0.00"
"10858  :  โรงพยาบาลนาดี","403","2","0.50","0","0.00","391","0","0.00","0","0.00"
"10859  :  โรงพยาบาลบ้านสร้าง","319","5","1.57","2","40.00","309","0","0.00","0","0.00"
"10860  :  โรงพยาบาลประจันตคาม","860","106","12.33","86","81.13","854","2","0.23","2","100.00"
"10861  :  โรงพยาบาลศรีมหาโพธิ","1,680","229","13.63","206","89.96","628","0","0.00","0","0.00"
"10862  :  โรงพยาบาลศรีมโหสถ","648","47","7.25","44","93.62","300","0","0.00","0","0.00"
"11490  :  โรงพยาบาลค่ายจักรพงษ์","185","2","1.08","2","100.00","28","0","0.00","0","0.00"
"10698  :  โรงพยาบาลนครนายก","1,902","12","0.63","9","75.00","1,852","1","0.05","0","0.00"
"10863  :  โรงพยาบาลปากพลี","237","2","0.84","2","100.00","229","0","0.00","0","0.00"
"10864  :  โรงพยาบาลบ้านนา","1,487","1","0.07","1","100.00","1,351","0","0.00","0","0.00"
"10865  :  โรงพยาบาลองครักษ์","880","0","0.00","0","0.00","819","0","0.00","0","0.00"
"11491  :  โรงพยาบาลรร.นายร้อยพระจุลจอมเกล้า","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14904  :  โรงพยาบาลศูนย์การแพทย์สมเด็จพระเทพรัตนราชสุดาฯ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10699  :  โรงพยาบาลสมเด็จพระยุพราชสระแก้ว","1,680","22","1.31","16","72.73","1,600","10","0.63","8","80.00"
"10866  :  โรงพยาบาลคลองหาด","565","10","1.77","6","60.00","557","2","0.36","0","0.00"
"10867  :  โรงพยาบาลตาพระยา","543","10","1.84","9","90.00","506","0","0.00","0","0.00"
"10868  :  โรงพยาบาลวังน้ำเย็น","1,466","33","2.25","19","57.58","1,397","3","0.21","1","33.33"
"10869  :  โรงพยาบาลวัฒนานคร","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10870  :  โรงพยาบาลอรัญประเทศ","1,877","38","2.02","35","92.11","827","1","0.12","1","100.00"
"13817  :  โรงพยาบาลเขาฉกรรจ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14717  :  โรงพยาบาลจิตเวชสระแก้วราชนครินทร์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10666  :  โรงพยาบาลมหาราชนครราชสีมา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10871  :  โรงพยาบาลครบุรี","330","0","0.00","0","0.00","209","0","0.00","0","0.00"
"10872  :  โรงพยาบาลเสิงสาง","905","0","0.00","0","0.00","861","16","1.86","6","37.50"
"10873  :  โรงพยาบาลคง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10874  :  โรงพยาบาลบ้านเหลื่อม","400","0","0.00","0","0.00","393","1","0.25","1","100.00"
"10875  :  โรงพยาบาลจักราช","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10876  :  โรงพยาบาลโชคชัย","1,890","19","1.01","18","94.74","1,774","14","0.79","12","85.71"
"10877  :  โรงพยาบาลด่านขุนทด","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10878  :  โรงพยาบาลโนนไทย","99","1","1.01","0","0.00","40","1","2.50","0","0.00"
"10879  :  โรงพยาบาลโนนสูง","1,689","5","0.30","2","40.00","1,670","24","1.44","15","62.50"
"10880  :  โรงพยาบาลขามสะแกแสง","674","0","0.00","0","0.00","656","2","0.30","1","50.00"
"10881  :  โรงพยาบาลบัวใหญ่","19","0","0.00","0","0.00","20","0","0.00","0","0.00"
"10882  :  โรงพยาบาลประทาย","311","1","0.32","1","100.00","51","0","0.00","0","0.00"
"10883  :  โรงพยาบาลปักธงชัย","78","0","0.00","0","0.00","48","0","0.00","0","0.00"
"10884  :  โรงพยาบาลพิมาย","1,936","2","0.10","2","100.00","1,901","10","0.53","6","60.00"
"10885  :  โรงพยาบาลห้วยแถลง","841","12","1.43","10","83.33","832","1","0.12","1","100.00"
"10886  :  โรงพยาบาลชุมพวง","1,035","30","2.90","8","26.67","984","62","6.30","29","46.77"
"10887  :  โรงพยาบาลสูงเนิน","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10888  :  โรงพยาบาลขามทะเลสอ","539","1","0.19","0","0.00","531","3","0.56","1","33.33"
"10889  :  โรงพยาบาลสีคิ้ว","250","0","0.00","0","0.00","230","0","0.00","0","0.00"
"10890  :  โรงพยาบาลปากช่องนานา","1,081","2","0.19","0","0.00","563","10","1.78","8","80.00"
"10891  :  โรงพยาบาลหนองบุญมาก","318","1","0.31","1","100.00","300","7","2.33","7","100.00"
"10892  :  โรงพยาบาลแก้งสนามนาง","38","0","0.00","0","0.00","35","0","0.00","0","0.00"
"10893  :  โรงพยาบาลโนนแดง","478","0","0.00","0","0.00","473","1","0.21","1","100.00"
"10894  :  โรงพยาบาลวังน้ำเขียว","42","1","2.38","0","0.00","39","1","2.56","0","0.00"
"11492  :  โรงพยาบาลค่ายสุรนารี นครราชสีมา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11602  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จย่า 100 ปี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11608  :  โรงพยาบาลลำทะเมนชัย","402","0","0.00","0","0.00","373","2","0.54","2","100.00"
"11885  :  โรงพยาบาลเดอะโกลเดนเกท","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11891  :  โรงพยาบาลราชสีมาฮอสพิทอล","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12267  :  ศูนย์อนามัยที่ 9 นครราชสีมา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12268  :  โรงพยาบาลจิตเวชนครราชสีมาราชนครินทร์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14161  :  โรงพยาบาลกองบิน กองบิน1","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"22456  :  โรงพยาบาลพระทองคำ เฉลิมพระเกียรติ 80 พรรษา","206","4","1.94","3","75.00","194","0","0.00","0","0.00"
"23839  :  โรงพยาบาลเทพรัตน์นครราชสีมา","70","0","0.00","0","0.00","70","0","0.00","0","0.00"
"24060  :  โรงพยาบาลมหาวิทยาลัยเทคโนโลยีสุรนารี","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"24692  :  โรงพยาบาลเฉลิมพระเกียรติ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"27839  :  โรงพยาบาลบัวลาย","37","0","0.00","0","0.00","37","0","0.00","0","0.00"
"27840  :  โรงพยาบาลสีดา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"27841  :  โรงพยาบาลเทพารักษ์","55","0","0.00","0","0.00","53","0","0.00","0","0.00"
"10667  :  โรงพยาบาลบุรีรัมย์","138","3","2.17","3","100.00","25","0","0.00","0","0.00"
"10895  :  โรงพยาบาลคูเมือง","675","20","2.96","5","25.00","645","29","4.50","7","24.14"
"10896  :  โรงพยาบาลกระสัง","1,626","50","3.08","22","44.00","1,577","70","4.44","27","38.57"
"10897  :  โรงพยาบาลนางรอง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10898  :  โรงพยาบาลหนองกี่","1,404","4","0.28","4","100.00","1,272","22","1.73","17","77.27"
"10899  :  โรงพยาบาลละหานทราย","1,410","11","0.78","8","72.73","1,316","16","1.22","13","81.25"
"10900  :  โรงพยาบาลประโคนชัย","2,568","32","1.25","22","68.75","2,458","17","0.69","11","64.71"
"10901  :  โรงพยาบาลบ้านกรวด","1,310","125","9.54","40","32.00","1,265","44","3.48","11","25.00"
"10902  :  โรงพยาบาลพุทไธสง","1,260","79","6.27","64","81.01","1,253","17","1.36","12","70.59"
"10904  :  โรงพยาบาลลำปลายมาศ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10905  :  โรงพยาบาลสตึก","1,340","178","13.28","87","48.88","1,194","77","6.45","31","40.26"
"10906  :  โรงพยาบาลปะคำ","313","5","1.60","3","60.00","306","7","2.29","5","71.43"
"10907  :  โรงพยาบาลนาโพธิ์","536","75","13.99","52","69.33","529","53","10.02","27","50.94"
"10908  :  โรงพยาบาลหนองหงส์","551","0","0.00","0","0.00","528","2","0.38","2","100.00"
"10909  :  โรงพยาบาลพลับพลาชัย","531","8","1.51","7","87.50","509","3","0.59","3","100.00"
"10910  :  โรงพยาบาลห้วยราช","490","35","7.14","33","94.29","472","17","3.60","13","76.47"
"10911  :  โรงพยาบาลโนนสุวรรณ","471","9","1.91","4","44.44","451","8","1.77","3","37.50"
"10912  :  โรงพยาบาลชำนิ","255","2","0.78","1","50.00","236","1","0.42","0","0.00"
"10913  :  โรงพยาบาลบ้านใหม่ไชยพจน์","507","1","0.20","0","0.00","501","0","0.00","0","0.00"
"10914  :  โรงพยาบาลโนนดินแดง","489","27","5.52","15","55.56","429","8","1.86","2","25.00"
"11493  :  โรงพยาบาลค่ายสมเด็จเจ้าพระยามหากษัตริย์ศึก","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11619  :  โรงพยาบาลเฉลิมพระเกียรติ","345","0","0.00","0","0.00","345","5","1.45","5","100.00"
"23578  :  โรงพยาบาลแคนดง","513","16","3.12","14","87.50","505","4","0.79","1","25.00"
"28020  :  โรงพยาบาลบ้านด่าน","473","2","0.42","2","100.00","438","8","1.83","8","100.00"
"10668  :  โรงพยาบาลสุรินทร์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10915  :  โรงพยาบาลชุมพลบุรี","627","10","1.59","6","60.00","625","0","0.00","0","0.00"
"10916  :  โรงพยาบาลท่าตูม","1,165","4","0.34","4","100.00","1,155","2","0.17","2","100.00"
"10917  :  โรงพยาบาลจอมพระ","1,118","2","0.18","2","100.00","1,109","1","0.09","0","0.00"
"10918  :  โรงพยาบาลปราสาท","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10919  :  โรงพยาบาลกาบเชิง","582","7","1.20","1","14.29","510","5","0.98","1","20.00"
"10920  :  โรงพยาบาลรัตนบุรี","1,213","20","1.65","10","50.00","1,207","6","0.50","1","16.67"
"10921  :  โรงพยาบาลสนม","486","10","2.06","3","30.00","484","2","0.41","0","0.00"
"10922  :  โรงพยาบาลศีขรภูมิ","1,354","0","0.00","0","0.00","1,344","0","0.00","0","0.00"
"10923  :  โรงพยาบาลสังขะ","1,104","3","0.27","1","33.33","1,080","1","0.09","1","100.00"
"10924  :  โรงพยาบาลลำดวน","980","4","0.41","1","25.00","906","1","0.11","0","0.00"
"10925  :  โรงพยาบาลสำโรงทาบ","81","0","0.00","0","0.00","78","0","0.00","0","0.00"
"10926  :  โรงพยาบาลบัวเชด","1,019","0","0.00","0","0.00","987","0","0.00","0","0.00"
"11494  :  โรงพยาบาลค่ายวีรวัฒน์โยธิน","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"22302  :  โรงพยาบาลพนมดงรัก เฉลิมพระเกียรติ 80 พรรษา","567","1","0.18","0","0.00","550","0","0.00","0","0.00"
"27842  :  โรงพยาบาลเขวาสินรินทร์","433","2","0.46","2","100.00","431","1","0.23","0","0.00"
"27843  :  โรงพยาบาลศรีณรงค์","58","0","0.00","0","0.00","59","0","0.00","0","0.00"
"27844  :  โรงพยาบาลโนนนารายณ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10700  :  โรงพยาบาลศรีสะเกษ","2,609","86","3.30","61","70.93","1,522","3","0.20","1","33.33"
"10927  :  โรงพยาบาลยางชุมน้อย","482","0","0.00","0","0.00","480","65","13.54","21","32.31"
"10928  :  โรงพยาบาลกันทรารมย์","1,336","28","2.10","23","82.14","1,296","3","0.23","2","66.67"
"10929  :  โรงพยาบาลกันทรลักษ์","2,027","22","1.09","20","90.91","1,839","0","0.00","0","0.00"
"10930  :  โรงพยาบาลขุขันธ์","2,462","90","3.66","58","64.44","1,885","17","0.90","11","64.71"
"10931  :  โรงพยาบาลไพรบึง","180","4","2.22","2","50.00","54","0","0.00","0","0.00"
"10932  :  โรงพยาบาลปรางค์กู่","946","30","3.17","22","73.33","941","2","0.21","2","100.00"
"10933  :  โรงพยาบาลขุนหาญ","226","0","0.00","0","0.00","209","0","0.00","0","0.00"
"10934  :  โรงพยาบาลราษีไศล","158","4","2.53","3","75.00","41","0","0.00","0","0.00"
"10935  :  โรงพยาบาลอุทุมพรพิสัย","901","72","7.99","37","51.39","300","1","0.33","0","0.00"
"10936  :  โรงพยาบาลบึงบูรพ์","134","0","0.00","0","0.00","131","1","0.76","1","100.00"
"10937  :  โรงพยาบาลห้วยทับทัน","662","134","20.24","29","21.64","647","0","0.00","0","0.00"
"10938  :  โรงพยาบาลโนนคูณ","277","2","0.72","2","100.00","259","0","0.00","0","0.00"
"10939  :  โรงพยาบาลศรีรัตนะ","726","6","0.83","5","83.33","695","0","0.00","0","0.00"
"10940  :  โรงพยาบาลวังหิน","374","21","5.61","19","90.48","334","0","0.00","0","0.00"
"10941  :  โรงพยาบาลน้ำเกลี้ยง","97","0","0.00","0","0.00","16","0","0.00","0","0.00"
"10942  :  โรงพยาบาลภูสิงห์","381","26","6.82","23","88.46","359","1","0.28","0","0.00"
"10943  :  โรงพยาบาลเมืองจันทร์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"23125  :  โรงพยาบาลเบญจลักษ์เฉลิมพระเกียรติ 80 พรรษา","566","5","0.88","1","20.00","549","0","0.00","0","0.00"
"28014  :  โรงพยาบาลพยุห์","247","17","6.88","13","76.47","239","0","0.00","0","0.00"
"28015  :  โรงพยาบาลโพธิ์ศรีสุวรรณ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"28016  :  โรงพยาบาลศิลาลาด","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10669  :  โรงพยาบาลสรรพสิทธิประสงค์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10944  :  โรงพยาบาลศรีเมืองใหม่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10945  :  โรงพยาบาลโขงเจียม","433","18","4.16","10","55.56","409","6","1.47","3","50.00"
"10946  :  โรงพยาบาลเขื่องใน","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10947  :  โรงพยาบาลเขมราฐ","845","65","7.69","39","60.00","844","93","11.02","58","62.37"
"10948  :  โรงพยาบาลนาจะหลวย","950","41","4.32","23","56.10","809","36","4.45","25","69.44"
"10949  :  โรงพยาบาลน้ำยืน","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10950  :  โรงพยาบาลบุณฑริก","1,060","202","19.06","184","91.09","872","19","2.18","14","73.68"
"10951  :  โรงพยาบาลตระการพืชผล","1,818","67","3.69","50","74.63","1,589","133","8.37","109","81.95"
"10952  :  โรงพยาบาลกุดข้าวปุ้น","511","102","19.96","85","83.33","505","20","3.96","17","85.00"
"10953  :  โรงพยาบาลม่วงสามสิบ","1,182","28","2.37","18","64.29","853","90","10.55","56","62.22"
"10954  :  โรงพยาบาลวารินชำราบ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10956  :  โรงพยาบาลพิบูลมังสาหาร","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10957  :  โรงพยาบาลตาลสุม","267","3","1.12","1","33.33","244","2","0.82","1","50.00"
"10958  :  โรงพยาบาลโพธิ์ไทร","616","53","8.60","50","94.34","614","27","4.40","20","74.07"
"10959  :  โรงพยาบาลสำโรง","459","23","5.01","20","86.96","354","20","5.65","19","95.00"
"10960  :  โรงพยาบาลดอนมดแดง","365","10","2.74","3","30.00","360","40","11.11","11","27.50"
"10961  :  โรงพยาบาลสิรินธร","591","33","5.58","17","51.52","593","90","15.18","70","77.78"
"10962  :  โรงพยาบาลทุ่งศรีอุดม","226","25","11.06","15","60.00","227","30","13.22","18","60.00"
"11443  :  โรงพยาบาลสมเด็จพระยุพราชเดชอุดม","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11495  :  โรงพยาบาลกองบิน 21","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11496  :  โรงพยาบาลค่ายสรรพสิทธิประสงค์","525","51","9.71","48","94.12","487","61","12.53","57","93.44"
"11918  :  โรงพยาบาลเอกชนร่มเกล้า","1,273","195","15.32","156","80.00","91","5","5.49","2","40.00"
"12269  :  โรงพยาบาลพระศรีมหาโพธิ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12270  :  โรงพยาบาลส่งเสริมสุขภาพ ศูนย์อนามัยที่ 10","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"21984  :  โรงพยาบาล 50 พรรษา มหาวชิราลงกรณ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"24032  :  โรงพยาบาลนาตาล","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"24821  :  โรงพยาบาลนาเยีย","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"27967  :  โรงพยาบาลสว่างวีระวงศ์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"27968  :  โรงพยาบาลน้ำขุ่น","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"27976  :  โรงพยาบาลเหล่าเสือโก้ก","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10701  :  โรงพยาบาลยโสธร","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10963  :  โรงพยาบาลทรายมูล","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10964  :  โรงพยาบาลกุดชุม","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10965  :  โรงพยาบาลคำเขื่อนแก้ว","1,102","13","1.18","3","23.08","1,098","1","0.09","0","0.00"
"10966  :  โรงพยาบาลป่าติ้ว","394","1","0.25","1","100.00","364","1","0.27","0","0.00"
"10967  :  โรงพยาบาลมหาชนะชัย","562","7","1.25","1","14.29","558","3","0.54","1","33.33"
"10968  :  โรงพยาบาลค้อวัง","319","1","0.31","0","0.00","319","0","0.00","0","0.00"
"10969  :  โรงพยาบาลไทยเจริญ","21","0","0.00","0","0.00","21","0","0.00","0","0.00"
"11444  :  โรงพยาบาลสมเด็จพระยุพราชเลิงนกทา","121","0","0.00","0","0.00","123","0","0.00","0","0.00"
"11921  :  โรงพยาบาลนายแพทย์หาญ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"04007  :  โรงพยาบาลซับใหญ่","266","4","1.50","3","75.00","226","1","0.44","1","100.00"
"10702  :  โรงพยาบาลชัยภูมิ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10970  :  โรงพยาบาลบ้านเขว้า","365","0","0.00","0","0.00","361","0","0.00","0","0.00"
"10971  :  โรงพยาบาลคอนสวรรค์","516","8","1.55","7","87.50","519","1","0.19","1","100.00"
"10972  :  โรงพยาบาลเกษตรสมบูรณ์","50","0","0.00","0","0.00","47","0","0.00","0","0.00"
"10973  :  โรงพยาบาลหนองบัวแดง","1,341","2","0.15","2","100.00","1,304","1","0.08","1","100.00"
"10974  :  โรงพยาบาลจัตุรัส","218","0","0.00","0","0.00","215","0","0.00","0","0.00"
"10975  :  โรงพยาบาลบำเหน็จณรงค์","261","0","0.00","0","0.00","253","0","0.00","0","0.00"
"10976  :  โรงพยาบาลหนองบัวระเหว","413","1","0.24","1","100.00","404","1","0.25","1","100.00"
"10977  :  โรงพยาบาลเทพสถิต","605","0","0.00","0","0.00","532","0","0.00","0","0.00"
"10978  :  โรงพยาบาลภูเขียวเฉลิมพระเกียรติ","1,561","8","0.51","7","87.50","1,551","1","0.06","1","100.00"
"10979  :  โรงพยาบาลบ้านแท่น","742","1","0.13","1","100.00","703","0","0.00","0","0.00"
"10980  :  โรงพยาบาลแก้งคร้อ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10981  :  โรงพยาบาลคอนสาร","53","0","0.00","0","0.00","49","0","0.00","0","0.00"
"10982  :  โรงพยาบาลภักดีชุมพล","328","10","3.05","10","100.00","324","9","2.78","9","100.00"
"10983  :  โรงพยาบาลเนินสง่า","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10703  :  โรงพยาบาลอำนาจเจริญ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10985  :  โรงพยาบาลชานุมาน","519","9","1.73","1","11.11","520","1","0.19","0","0.00"
"10986  :  โรงพยาบาลปทุมราชวงศา","942","1","0.11","1","100.00","743","0","0.00","0","0.00"
"10987  :  โรงพยาบาลพนา","519","2","0.39","1","50.00","496","0","0.00","0","0.00"
"10988  :  โรงพยาบาลเสนางคนิคม","472","0","0.00","0","0.00","483","0","0.00","0","0.00"
"10989  :  โรงพยาบาลหัวตะพาน","818","7","0.86","7","100.00","793","0","0.00","0","0.00"
"10990  :  โรงพยาบาลลืออำนาจ","465","1","0.22","1","100.00","332","0","0.00","0","0.00"
"11040  :  โรงพยาบาลบึงกาฬ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11041  :  โรงพยาบาลพรเจริญ","1,069","0","0.00","0","0.00","999","0","0.00","0","0.00"
"11043  :  โรงพยาบาลโซ่พิสัย","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11046  :  โรงพยาบาลเซกา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11047  :  โรงพยาบาลปากคาด","841","0","0.00","0","0.00","774","0","0.00","0","0.00"
"11048  :  โรงพยาบาลบึงโขงหลง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11049  :  โรงพยาบาลศรีวิไล","984","1","0.10","1","100.00","962","1","0.10","1","100.00"
"11050  :  โรงพยาบาลบุ่งคล้า","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10704  :  โรงพยาบาลหนองบัวลำภู","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10991  :  โรงพยาบาลนากลาง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10992  :  โรงพยาบาลโนนสัง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10993  :  โรงพยาบาลศรีบุญเรือง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10994  :  โรงพยาบาลสุวรรณคูหา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"23367  :  โรงพยาบาลนาวัง เฉลิมพระเกียรติ 80 พรรษา","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10670  :  โรงพยาบาลขอนแก่น","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10995  :  โรงพยาบาลบ้านฝาง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10996  :  โรงพยาบาลพระยืน","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10997  :  โรงพยาบาลหนองเรือ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10998  :  โรงพยาบาลชุมแพ","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"10999  :  โรงพยาบาลสีชมพู","92","0","0.00","0","0.00","65","0","0.00","0","0.00"
"11000  :  โรงพยาบาลน้ำพอง","217","2","0.92","2","100.00","223","0","0.00","0","0.00"
"11001  :  โรงพยาบาลอุบลรัตน์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11002  :  โรงพยาบาลบ้านไผ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11003  :  โรงพยาบาลเปือยน้อย","31","0","0.00","0","0.00","32","0","0.00","0","0.00"
"11004  :  โรงพยาบาลพล","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11005  :  โรงพยาบาลแวงใหญ่","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11006  :  โรงพยาบาลแวงน้อย","339","6","1.77","4","66.67","332","0","0.00","0","0.00"
"11007  :  โรงพยาบาลหนองสองห้อง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11008  :  โรงพยาบาลภูเวียง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11009  :  โรงพยาบาลมัญจาคีรี","1,092","19","1.74","18","94.74","1,081","0","0.00","0","0.00"
"11010  :  โรงพยาบาลชนบท","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11011  :  โรงพยาบาลเขาสวนกวาง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11012  :  โรงพยาบาลภูผาม่าน","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11445  :  โรงพยาบาลสมเด็จพระยุพราชกระนวน","1,528","32","2.09","29","90.63","1,159","0","0.00","0","0.00"
"11497  :  โรงพยาบาลค่ายศรีพัชรินทร","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"11936  :  โรงพยาบาลขอนแก่นราม","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12272  :  โรงพยาบาลจิตเวชขอนแก่นราชนครินทร์","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12273  :  โรงพยาบาลส่งเสริมสุขภาพ ศูนย์อนามัยที่ 7","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"12275  :  โรงพยาบาลสิรินธร(ภาคตะวันออกเฉียงเหนือ)","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"13777  :  โรงพยาบาลศรีนครินทร์ มหาวิทยาลัยขอนแก่น","422","3","0.71","3","100.00","0","0","0.00","0","0.00"
"14132  :  โรงพยาบาลซำสูง","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
"14196  :  โรงพยาบาลธัญญรักษ์ขอนแก่น","0","0","0.00","0","0.00","0","0","0.00","0","0.00"
